"HMK.set.name","List.num","Gene.num","Vertice.num","Edge.num","MaxD","MaxD.gene","MaxB","MaxB.gene","MaxC","MaxC.gene","PCC.DB","PCC.DC","PCC.BC","Clust.Coeff.Global","Clust.Coeff.Average","Diameter","Mean.Distance","Max.Cliq.num","Max.Cliq.D","KEGG.z.max","KEGG.z.mean","KEGG.z.sd","BP.z.max","BP.z.mean","BP.z.sd","CC.z.max","CC.z.mean","CC.z.sd","MF.z.max","MF.z.mean","MF.z.sd"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","200","196","155","503","31","FN1","2396.17170757267","JUN","0.000919963201471941","JUN","0.764669791847167","0.424883737356551","0.283237174977216","0.22051471949639","0.308197494684024","7","3.15046068521335","1","7","62.841","32.661","12.4748728962574","66.655","38.8753","11.0348129727895","70.18","43.127","14.7025073069566","72.791","38.5976","14.0292139654682"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","200","195","90","134","31","MYC","1627.05353535354","MYC","0.000630914826498423","MYC","0.920753967781429","0.252087303402233","0.204611715087551","0.109464082098062","0.289922816385364","9","3.32731958762887","2","4","21.797","17.6081","2.50852380007756","23.846","15.909","3.92264428953509","13.435","11.5987","1.23509847110801","21.414","16.115","2.15614872709035"
"HALLMARK_ESTROGEN_RESPONSE_LATE","200","197","88","106","11","HSPA4L","645.261904761905","HSPA4L","0.000523834468308015","PGR","0.828899940002223","0.426211847933915","0.397592245086841","0.196551724137931","0.211918577876025","11","4.71955876113704","1","5","23.184","15.5474","4.16055229239794","16.162","14.0227","1.74889940311678","20.635","12.34","3.75418702547199","16.505","12.9206","1.9593142337733"
"HALLMARK_FATTY_ACID_METABOLISM","158","150","96","337","38","HSD17B10,HSPH1","1103.32654865142","HSD17B10","0.0028169014084507","HSPH1","0.793809334730952","0.537437266401576","0.351977704251601","0.36526157320286","0.449312577381715","6","2.54551692589204","1","11","29.986","19.5369","4.30029788244696","22.927","20.3218","2.23142713675949","32.894","21.2909","5.70912556935532","26.219","20.9007","3.8295764793396"
"HALLMARK_G2M_CHECKPOINT","200","193","186","1597","80","E2F4,HSPA8","1769.9432367445","E2F4","0.00150829562594268","E2F4","0.810639395573709","0.546331045825138","0.339429452297694","0.331962872983243","0.424121764798755","5","2.17176456613411","2","22","35.262","18.5375","6.37975989185939","41.826","28.0752","5.59525161384385","44.836","26.8118","7.41481718962481","31.591","20.0648","4.49160322280487"
"HALLMARK_GLYCOLYSIS","200","196","125","605","39","HSPA5","2243.75556889185","EGFR","0.00377358490566038","HSPA5","0.455197116140249","0.782084743599836","0.484511386547835","0.528651685393258","0.487830424012192","8","3.1741935483871","4","14","50.951","24.6487","10.468434829949","51.24","31.2377","7.92283933462128","29.767","21.1385","4.47500577901551","40.619","25.9153","7.10621099305233"
"HALLMARK_HEDGEHOG_SIGNALING","36","35","21","21","6","NRP1","28.5","CDK6","0.00520833333333333","VEGFA","0.676512918172675","0.655826376830716","0.590081805779938","0.375","0.343333333333333","6","2.68292682926829","1","4","20.03","13.7798","2.78932201240532","34.371","26.9907","3.10277617805589","30.842","13.9783","6.09744524006207","30.842","16.9456","5.33388624633943"
"HALLMARK_HEME_METABOLISM","200","190","103","111","10","BTRC","1751.5","KAT2B","0.000309597523219814","KAT2B","0.731222793219581","0.383447593185105","0.318538739134855","0.203007518796992","0.233564213564214","14","5.54765395894428","3","4","10.064","7.0063","1.31651501658313","15.614","11.8192","2.22882823225319","12.122","9.2227","1.36091970944489","13.595","8.7358","1.98148377625343"
"HALLMARK_HYPOXIA","200","192","136","435","42","JUN","3609.94471280067","JUN","0.00126422250316056","JUN","0.661399978348298","0.381110418381358","0.242316673127604","0.41353001017294","0.393733844437748","7","3.0200046253469","2","12","38.435","18.2169","10.0244784231179","35.609","24.721","6.53168149186035","22.241","14.4111","3.30780549777509","26.9","18.6823","3.93632781635089"
"HALLMARK_IL2_STAT5_SIGNALING","200","192","117","145","34","MYC","3757.49523809524","MYC","0.000409165302782324","MYC","0.945466390525035","0.184697926068467","0.182511209785446","0.0850059031877214","0.275008681158414","12","4.13875497799204","2","4","22.052","15.9885","3.09799014595664","18.847","18.0615","0.741275514831624","19.822","11.7834","3.56571558035691","13.461","10.8271","1.44928828893511"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","87","87","75","206","23","STAT3","456.417973632834","GRB2","0.00106496272630458","PTPN11","0.814506585187592","0.0609934843768346","0.251354117284736","0.347978910369069","0.511101907123166","6","2.65562591329761","1","8","68.965","40.9052","14.5488987349559","58.317","44.7201","7.48752104727148","46.169","30.3064","7.5003541723782","60.263","36.9767","8.77172719657372"
"HALLMARK_INFLAMMATORY_RESPONSE","200","194","134","410","29","BDKRB1","3290.07878167584","MYC","0.000571428571428571","MYC","0.367508176722224","0.278985678259335","0.179175391436755","0.717154331612163","0.542913282867767","8","3.61644929464999","1","18","105.084","45.0183","24.7356945775398","157.204","76.0382","29.4324792167504","96.487","44.263","24.0116223432644","107.292","51.1413","20.0880204436486"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","97","91","46","65","10","ISG15","397.883333333333","ISG15","0.00216450216450216","ISG15","0.771398537256725","0.454802657254866","0.316239261829795","0.32512315270936","0.405233134920635","10","3.93530239099859","1","5","27.377","17.6036","4.95435593302612","26.563","21.3048","3.00619093797376","20.985","14.5967","4.16339036656959","19.913","16.6015","2.2479118334826"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","200","194","138","371","22","STAT3","1745.22470343514","STAT3","0.00115207373271889","STAT3","0.763802898703181","0.400451876611885","0.329010034387935","0.333808844507846","0.448184370930366","8","3.5144106762364","1","8","43.898","36.5583","4.40811411049114","47.691","35.5294","6.34551840452947","26.453","22.2914","2.31177393166181","49.197","24.8664","8.95787940183266"
"HALLMARK_KRAS_SIGNALING_DN","200","184","74","93","9","SSTR4","41","HNF1A","0.000224315836698071","SSTR4","0.331795180476459","0.699480732948664","0.401909657678651","0.85207100591716","0.600308641975309","6","1.96534653465347","1","9","50.515","21.93","11.1540775205004","70.259","34.502","12.9583913782194","40.905","19.6431","9.55436963965238","52.186","24.8703","10.1365083079815"
"HALLMARK_KRAS_SIGNALING_UP","200","188","73","83","8","BPGM","40","TNFRSF1B","0.000235017626321974","BPGM","0.638012273021569","0.46764408755201","0.484113632072801","0.527777777777778","0.495502645502646","7","2.35164835164835","3","5","20.983","15.7284","2.27267479220216","19.441","16.1214","1.30901482887789","22.03","13.0192","4.24549431227455","17.106","13.3263","2.11235203558077"
"HALLMARK_MITOTIC_SPINDLE","200","198","187","1228","60","CDC42","3412.5526080862","CDC42","0.000937207122774133","MAPRE1","0.686541546593923","0.427730009034817","0.241174325173548","0.467002662609357","0.393841577170743","5","2.48598018613029","1","25","27.658","20.3879","3.38051154741738","66.593","49.4159","10.2046194272768","66.347","45.0065","10.4200407895342","40.223","27.8874","6.20136429792312"
"HALLMARK_MTORC1_SIGNALING","200","196","157","903","56","HSPD1","1530.55509695291","HSPA4","0.00170648464163823","HSPA4","0.745382589117823","0.624474194060203","0.417728026173555","0.415936049510057","0.441247151126036","6","2.62709450402145","5","15","31.533","18.3839","5.60326132117121","21.195","18.6085","1.6363724277261","31.196","21.9283","4.14460002225118","22.327","17.7053","3.08494639067413"
"HALLMARK_MYC_TARGETS_V1","200","197","193","3018","101","CDK2","1312.76668862485","MYC","0.00350877192982456","CDK2","0.769369325366707","0.928262799097806","0.663432869099083","0.4482753630529","0.532735159026583","4","1.96286701208981","1","31","28.748","17.3475","4.79349386031618","32.985","23.623","3.59908296962188","30.177","23.4083","3.56531635030859","23.744","16.7894","3.76966880950215"
"HALLMARK_MYC_TARGETS_V2","58","58","43","181","24","NOP56","186.986682555491","HSPD1","0.0161290322580645","NOP56","0.67564491559372","0.95789204453092","0.669089069104571","0.550566695727986","0.568274824958093","4","2.10741971207087","2","10","35.618","13.0392","8.89276051128732","40.305","20.1342","7.38260557436646","36.847","20.56","8.98462433518756","22.212","13.9272","4.43689067303269"
"HALLMARK_MYOGENESIS","200","197","152","628","38","APP","3661.24759225668","APP","0.00321543408360129","APP","0.563092802732813","0.797728317839202","0.478746168334181","0.507165837964317","0.379756085848804","8","3.06613802718717","24","16","41.149","25.522","9.4138908357101","73.619","40.7302","13.3751150508032","56.463","34.1976","8.61955259473097","59.723","36.8088","9.38935122359367"
"HALLMARK_NOTCH_SIGNALING","32","32","29","68","18","NOTCH1","234.683333333333","NOTCH1","0.0222222222222222","NOTCH1","0.67327016135702","0.759034826009887","0.560076959720253","0.317972350230415","0.445681213001474","7","2.71182266009852","2","5","35.248","17.2935","7.55253057296397","42.441","26.7222","6.30255198400704","27.428","14.9111","5.97806840691688","50.172","35.0294","10.3361975514317"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","200","189","176","1380","68","NDUFA4","3054.21547793743","NDUFA4","0.00311526479750779","NDUFA4","0.602294353970541","0.759550819176618","0.535866303686709","0.600806805226695","0.631954382027282","6","2.60006493506493","2","28","131.407","72.8718","33.4382130197706","158.174","62.6962","43.887266456988","144.857","63.8221","38.1007337475277","143.608","52.2371","34.9655651540833"
"HALLMARK_P53_PATHWAY","200","195","143","342","41","APP,TP53","2902.67009730617","APP","0.0017825311942959","JUN","0.922962311097806","0.503709062996686","0.373107950910492","0.180555555555556","0.328800714345067","7","3.05267956640665","1","7","19.611","17.2971","1.30637857793554","20.454","17.1705","2.30041113475155","16.217","11.6115","2.51495231896485","19.387","15.5718","2.37329769636166"
