ID gn
C0008924 28
C0011999 28
C0017658 28
C0017668 28
C0023473 28
C0027806 28
C0027831 28
C0030305 28
C0080218 28
C0086432 28
C0152234 28
C0266453 28
C0341869 28
C0344479 28
C0393554 28
C0702169 28
C0751263 28
C0751265 28
C1368275 28
C1704377 28
C3853041 28
C0004114 29
C0004238 29
C0014518 29
C0152426 29
C0235480 29
C0751882 29
C1274933 29
C1333990 29
C2930471 29
C3658301 29
C3658302 29
C4048328 29
C0007873 30
C0024796 30
C0038325 30
C0543859 30
C1956147 30
C2936907 30
C3889979 30
C0002871 31
C0023493 31
C0024117 31
C1335167 31
C1527303 31
C0001969 32
C0007138 32
C0024305 32
C0149782 32
C0205646 32
C0205647 32
C0205648 32
C0205649 32
C0205650 32
C0205651 32
C0345958 32
C0023892 33
C0024809 33
C0036337 33
C0238065 33
C0238281 33
C0263454 33
C0496899 33
C0740376 33
C0740392 33
C0750974 33
C0750977 33
C0750979 33
C0751845 33
C0751846 33
C0751847 33
C0751848 33
C0751849 33
C0948089 33
C0017661 34
C0027708 34
C0087012 34
C0151468 34
C0496920 34
C0752120 34
C0752121 34
C0752123 34
C0752124 34
C0752125 34
C0002452 35
C0007117 35
C0010093 35
C0029925 35
C0029927 35
C0752122 35
C2931498 35
C0006413 36
C0011615 36
C0040136 36
C0086196 36
C0008312 38
C0011881 38
C0017667 38
C0022521 38
C0346153 38
C0376280 38
C0751733 38
C1279420 38
C1449563 38
C4317124 38
C0003865 39
C0020445 39
C0025193 39
C0025500 39
C0029463 39
C0151779 39
C0238463 39
C0282126 39
C0971858 39
C0993582 39
C0022665 40
C0023487 40
C0025261 40
C0026764 40
C0035222 40
C0086133 40
C0263628 40
C0751292 40
C0751293 40
C0751294 40
C0008925 41
C1168401 41
C1837218 41
C0022596 42
C0340427 42
C0400966 42
C0432330 42
C3241937 42
C0011854 43
C0026769 43
C0205734 43
C0205833 43
C0278510 43
C0278876 43
C0342302 43
C0496956 43
C0751291 43
C0751324 43
C0858252 43
C1275668 43
C3837958 43
C0010346 44
C0011573 44
C0024713 44
C0153633 44
C0156147 44
C0267380 44
C0278996 44
C0549473 44
C0678202 44
C0949272 44
C1623038 44
C0220636 45
C0278701 45
C0342384 45
C0699743 45
C0740457 45
C0001956 46
C0021364 46
C0022661 46
C3179349 47
C1862939 48
C1862941 48
C0023452 49
C0023453 49
C0025149 50
C0079744 51
C0021400 52
C0032285 52
C0032300 52
C0887898 52
