gene,GO.term,type
GOLGA4,GO:0000139,C
GOLGA5,GO:0000139,C
GOLGA7B,GO:0000139,C
GOLGB1,GO:0000139,C
GOLIM4,GO:0000139,C
GOLPH3L,GO:0000139,C
GOLT1A,GO:0000139,C
GOLT1B,GO:0000139,C
GOPC,GO:0000139,C
GORASP1,GO:0000139,C
GORASP2,GO:0000139,C
GOSR1,GO:0000139,C
GOSR2,GO:0000139,C
GPER1,GO:0000139,C
GPSM1,GO:0000139,C
GRIA1,GO:0000139,C
GRM6,GO:0000139,C
HACE1,GO:0000139,C
HEPACAM2,GO:0000139,C
HLA-A,GO:0000139,C
HLA-B,GO:0000139,C
HLA-C,GO:0000139,C
HLA-DPA1,GO:0000139,C
HLA-DPB1,GO:0000139,C
HLA-DQA1,GO:0000139,C
HLA-DQA2,GO:0000139,C
HLA-DQB1,GO:0000139,C
HLA-DQB2,GO:0000139,C
HLA-DRA,GO:0000139,C
HLA-DRB1,GO:0000139,C
HLA-DRB3,GO:0000139,C
HLA-DRB4,GO:0000139,C
HLA-DRB5,GO:0000139,C
HLA-E,GO:0000139,C
HLA-F,GO:0000139,C
HLA-G,GO:0000139,C
HLA-H,GO:0000139,C
HPD,GO:0000139,C
HRAS,GO:0000139,C
HS2ST1,GO:0000139,C
HS3ST2,GO:0000139,C
HS3ST3A1,GO:0000139,C
HS3ST3B1,GO:0000139,C
HS3ST4,GO:0000139,C
HS3ST5,GO:0000139,C
HS3ST6,GO:0000139,C
HS6ST1,GO:0000139,C
HS6ST2,GO:0000139,C
HYAL2,GO:0000139,C
ICA1,GO:0000139,C
IFNGR2,GO:0000139,C
IFT20,GO:0000139,C
IL15RA,GO:0000139,C
IL17RD,GO:0000139,C
INS,GO:0000139,C
IRGM,GO:0000139,C
ITM2B,GO:0000139,C
KDELR1,GO:0000139,C
KDELR2,GO:0000139,C
KDELR3,GO:0000139,C
KIAA0319L,GO:0000139,C
KLHL12,GO:0000139,C
LALBA,GO:0000139,C
LEPROT,GO:0000139,C
LITAF,GO:0000139,C
LMAN1,GO:0000139,C
LMAN1L,GO:0000139,C
LMAN2,GO:0000139,C
LMAN2L,GO:0000139,C
LMTK3,GO:0000139,C
LPCAT1,GO:0000139,C
LPCAT2,GO:0000139,C
LST1,GO:0000139,C
MALL,GO:0000139,C
MAN1A1,GO:0000139,C
MAN1A2,GO:0000139,C
MAN1C1,GO:0000139,C
MAN2A1,GO:0000139,C
MAN2A2,GO:0000139,C
MANEA,GO:0000139,C
MANEAL,GO:0000139,C
MAP4K2,GO:0000139,C
MAPK8IP3,GO:0000139,C
MARCH4,GO:0000139,C
MARCH9,GO:0000139,C
MBTPS1,GO:0000139,C
MBTPS2,GO:0000139,C
MCFD2,GO:0000139,C
MGAT1,GO:0000139,C
MGAT2,GO:0000139,C
MGAT3,GO:0000139,C
MGAT4A,GO:0000139,C
MGAT4B,GO:0000139,C
MGAT5B,GO:0000139,C
MGAT5,GO:0000139,C
MIA3,GO:0000139,C
MMGT1,GO:0000139,C
MOSPD1,GO:0000139,C
MPHOSPH9,GO:0000139,C
MTOR,GO:0000139,C
MYO18A,GO:0000139,C
NAA60,GO:0000139,C
NAPA,GO:0000139,C
NAPEPLD,GO:0000139,C
NCAM1,GO:0000139,C
NDFIP1,GO:0000139,C
NDFIP2,GO:0000139,C
NDST1,GO:0000139,C
NDST2,GO:0000139,C
NDST3,GO:0000139,C
NDST4,GO:0000139,C
NMNAT2,GO:0000139,C
NOS3,GO:0000139,C
NOSIP,GO:0000139,C
NOTCH1,GO:0000139,C
NOTCH2,GO:0000139,C
NOTCH3,GO:0000139,C
NOTCH4,GO:0000139,C
NRAS,GO:0000139,C
NSF,GO:0000139,C
NUMA1,GO:0000139,C
OPTN,GO:0000139,C
OSBP,GO:0000139,C
PAQR3,GO:0000139,C
PDCD10,GO:0000139,C
PDCD6,GO:0000139,C
PDGFA,GO:0000139,C
PDGFB,GO:0000139,C
PDGFC,GO:0000139,C
PDGFD,GO:0000139,C
PEF1,GO:0000139,C
PGAP2,GO:0000139,C
PGAP3,GO:0000139,C
PI4KB,GO:0000139,C
PIKFYVE,GO:0000139,C
PITPNB,GO:0000139,C
PJA2,GO:0000139,C
PKD1,GO:0000139,C
PKMYT1,GO:0000139,C
PLCE1,GO:0000139,C
PLD1,GO:0000139,C
PLEKHA3,GO:0000139,C
PLEKHA8,GO:0000139,C
PMEPA1,GO:0000139,C
PNPLA8,GO:0000139,C
POC1B-GALNT4,GO:0000139,C
POMGNT1,GO:0000139,C
PPP6C,GO:0000139,C
PPP6R1,GO:0000139,C
PPP6R3,GO:0000139,C
PREB,GO:0000139,C
PRKCI,GO:0000139,C
PROS1,GO:0000139,C
PSEN1,GO:0000139,C
PSEN2,GO:0000139,C
PTGES2,GO:0000139,C
PXYLP1,GO:0000139,C
QPCTL,GO:0000139,C
RAB10,GO:0000139,C
RAB11FIP5,GO:0000139,C
RAB12,GO:0000139,C
RAB14,GO:0000139,C
RAB19,GO:0000139,C
RAB1A,GO:0000139,C
RAB1B,GO:0000139,C
RAB1C,GO:0000139,C
RAB26,GO:0000139,C
RAB2A,GO:0000139,C
RAB30,GO:0000139,C
RAB33A,GO:0000139,C
RAB33B,GO:0000139,C
RAB35,GO:0000139,C
RAB36,GO:0000139,C
RAB39A,GO:0000139,C
RAB40A,GO:0000139,C
RAB40AL,GO:0000139,C
RAB40B,GO:0000139,C
RAB40C,GO:0000139,C
RAB41,GO:0000139,C
RAB43,GO:0000139,C
RAB6A,GO:0000139,C
RAB6B,GO:0000139,C
RAB8A,GO:0000139,C
RAC1,GO:0000139,C
RAP1GAP,GO:0000139,C
RASGRP1,GO:0000139,C
RFFL,GO:0000139,C
RGP1,GO:0000139,C
RHBDD2,GO:0000139,C
RHBDF1,GO:0000139,C
RHEB,GO:0000139,C
RHO,GO:0000139,C
RHOU,GO:0000139,C
RIC1,GO:0000139,C
RIC3,GO:0000139,C
RND3,GO:0000139,C
RNF121,GO:0000139,C
