gene,GO.term,type
SFPQ,GO:0000976,F
SIN3A,GO:0000976,F
SIX1,GO:0000976,F
SIX2,GO:0000976,F
SIX3,GO:0000976,F
SIX4,GO:0000976,F
SIX5,GO:0000976,F
SIX6,GO:0000976,F
SOX11,GO:0000976,F
SOX12,GO:0000976,F
SOX2,GO:0000976,F
SOX4,GO:0000976,F
SUV39H1,GO:0000976,F
SUV39H2,GO:0000976,F
TBX18,GO:0000976,F
TFAP2A,GO:0000976,F
THRA,GO:0000976,F
THRB,GO:0000976,F
VDR,GO:0000976,F
ZNF568,GO:0000976,F
ZNF605,GO:0000976,F
ZNF658,GO:0000976,F
ZNF709,GO:0000976,F
ZNF93,GO:0000976,F
ACTN4,GO:0000977,F
AEBP1,GO:0000977,F
AIRE,GO:0000977,F
ALX1,GO:0000977,F
ALX4,GO:0000977,F
ARHGAP35,GO:0000977,F
ARID3A,GO:0000977,F
ARID3B,GO:0000977,F
ARID3C,GO:0000977,F
ARID5B,GO:0000977,F
ASCL1,GO:0000977,F
ASCL2,GO:0000977,F
ASCL3,GO:0000977,F
ASCL4,GO:0000977,F
ATF1,GO:0000977,F
ATF2,GO:0000977,F
ATF3,GO:0000977,F
ATF4,GO:0000977,F
ATF5,GO:0000977,F
ATF6,GO:0000977,F
BARHL1,GO:0000977,F
BARHL2,GO:0000977,F
BARX1,GO:0000977,F
BARX2,GO:0000977,F
BCL6B,GO:0000977,F
BCL6,GO:0000977,F
BCOR,GO:0000977,F
BHLHA15,GO:0000977,F
BHLHE40,GO:0000977,F
BHLHE41,GO:0000977,F
BORCS8-MEF2B,GO:0000977,F
CDC5L,GO:0000977,F
CDX1,GO:0000977,F
CDX2,GO:0000977,F
CDX4,GO:0000977,F
CEBPB,GO:0000977,F
CGGBP1,GO:0000977,F
CNBP,GO:0000977,F
CREB3,GO:0000977,F
CREB3L3,GO:0000977,F
CREBRF,GO:0000977,F
CREM,GO:0000977,F
CUX1,GO:0000977,F
CUX2,GO:0000977,F
DBP,GO:0000977,F
DEAF1,GO:0000977,F
DLX1,GO:0000977,F
DLX2,GO:0000977,F
DMBX1,GO:0000977,F
DMRT1,GO:0000977,F
DMRT2,GO:0000977,F
DUX1,GO:0000977,F
E2F2,GO:0000977,F
E2F3,GO:0000977,F
E2F6,GO:0000977,F
E4F1,GO:0000977,F
EAF2,GO:0000977,F
EGR1,GO:0000977,F
EGR3,GO:0000977,F
EGR4,GO:0000977,F
ELF5,GO:0000977,F
ENO1,GO:0000977,F
EOMES,GO:0000977,F
ESRRG,GO:0000977,F
ESX1,GO:0000977,F
ETV3,GO:0000977,F
ETV5,GO:0000977,F
ETV6,GO:0000977,F
ETV7,GO:0000977,F
FERD3L,GO:0000977,F
FEZF2,GO:0000977,F
FOSL2,GO:0000977,F
FOXC1,GO:0000977,F
FOXD3,GO:0000977,F
FOXF1,GO:0000977,F
FOXF2,GO:0000977,F
FOXK1,GO:0000977,F
FOXM1,GO:0000977,F
GATA1,GO:0000977,F
GATA4,GO:0000977,F
GLI1,GO:0000977,F
GLI3,GO:0000977,F
GLIS2,GO:0000977,F
H2AFY2,GO:0000977,F
H2AFY,GO:0000977,F
HAND2,GO:0000977,F
HELT,GO:0000977,F
HES1,GO:0000977,F
HES4,GO:0000977,F
HES5,GO:0000977,F
HES6,GO:0000977,F
HES7,GO:0000977,F
HEY1,GO:0000977,F
HEY2,GO:0000977,F
HEYL,GO:0000977,F
HHEX,GO:0000977,F
HIC2,GO:0000977,F
HLF,GO:0000977,F
HMX1,GO:0000977,F
HMX3,GO:0000977,F
HOXA4,GO:0000977,F
HOXB1,GO:0000977,F
HOXB4,GO:0000977,F
HOXB9,GO:0000977,F
HOXC10,GO:0000977,F
HOXC4,GO:0000977,F
HOXD10,GO:0000977,F
HOXD3,GO:0000977,F
HOXD4,GO:0000977,F
HOXD8,GO:0000977,F
HOXD9,GO:0000977,F
HSF2,GO:0000977,F
IER2,GO:0000977,F
IKZF3,GO:0000977,F
IKZF5,GO:0000977,F
IRF2BP1,GO:0000977,F
IRF2BP2,GO:0000977,F
IRF2BPL,GO:0000977,F
IRF2,GO:0000977,F
JARID2,GO:0000977,F
KAT2B,GO:0000977,F
KLF12,GO:0000977,F
KLF3,GO:0000977,F
LEF1,GO:0000977,F
LMO2,GO:0000977,F
LMX1A,GO:0000977,F
LMX1B,GO:0000977,F
LYL1,GO:0000977,F
MACC1,GO:0000977,F
MAX,GO:0000977,F
MEF2A,GO:0000977,F
MEF2C,GO:0000977,F
MEF2D,GO:0000977,F
MLX,GO:0000977,F
MLXIP,GO:0000977,F
MNT,GO:0000977,F
MSX1,GO:0000977,F
MSX2,GO:0000977,F
MTF1,GO:0000977,F
MTF2,GO:0000977,F
MXD3,GO:0000977,F
MXI1,GO:0000977,F
MYOD1,GO:0000977,F
MYOG,GO:0000977,F
MYT1,GO:0000977,F
MYT1L,GO:0000977,F
NANOG,GO:0000977,F
NFIL3,GO:0000977,F
NFKB1,GO:0000977,F
NFX1,GO:0000977,F
NFXL1,GO:0000977,F
NHLH1,GO:0000977,F
NHLH2,GO:0000977,F
NKX2-1,GO:0000977,F
NR1D1,GO:0000977,F
NR1D2,GO:0000977,F
NR1H2,GO:0000977,F
NR1H3,GO:0000977,F
NR1H4,GO:0000977,F
NR1I2,GO:0000977,F
NR1I3,GO:0000977,F
NR2C2,GO:0000977,F
NR4A1,GO:0000977,F
NR4A2,GO:0000977,F
NR4A3,GO:0000977,F
NR5A1,GO:0000977,F
OSR1,GO:0000977,F
OSR2,GO:0000977,F
PARP1,GO:0000977,F
PAX9,GO:0000977,F
PBX1,GO:0000977,F
PBX2,GO:0000977,F
PCGF3,GO:0000977,F
PCGF5,GO:0000977,F
PCGF6,GO:0000977,F
PHOX2A,GO:0000977,F
PHOX2B,GO:0000977,F
PKNOX2,GO:0000977,F
PLAGL1,GO:0000977,F
POU3F4,GO:0000977,F
PPARA,GO:0000977,F
PPARD,GO:0000977,F
PPARG,GO:0000977,F
PRDM13,GO:0000977,F
PRDM14,GO:0000977,F
PRDM1,GO:0000977,F
PRDM2,GO:0000977,F
PRDM4,GO:0000977,F
PRDM5,GO:0000977,F
PRDM6,GO:0000977,F
PRDM7,GO:0000977,F
PRDM9,GO:0000977,F
PURA,GO:0000977,F
PURB,GO:0000977,F
PURG,GO:0000977,F
RARA,GO:0000977,F
RARB,GO:0000977,F
RARG,GO:0000977,F
RELA,GO:0000977,F
RELB,GO:0000977,F
REL,GO:0000977,F
RFX6,GO:0000977,F
RORA,GO:0000977,F
RPS3,GO:0000977,F
RREB1,GO:0000977,F
RUNX1,GO:0000977,F
RUNX3,GO:0000977,F
RXRA,GO:0000977,F
RXRB,GO:0000977,F
RXRG,GO:0000977,F
SALL2,GO:0000977,F
SATB1,GO:0000977,F
SNAI1,GO:0000977,F
SOX13,GO:0000977,F
SP1,GO:0000977,F
SP3,GO:0000977,F
SP5,GO:0000977,F
SREBF1,GO:0000977,F
ST18,GO:0000977,F
STAT6,GO:0000977,F
STOX1,GO:0000977,F
TAL1,GO:0000977,F
TAL2,GO:0000977,F
TBX20,GO:0000977,F
