gene,GO.term,type
GPS2,GO:0000122,P
GSC,GO:0000122,P
GZF1,GO:0000122,P
H2AFY2,GO:0000122,P
H2AFY,GO:0000122,P
HAMP,GO:0000122,P
HAND1,GO:0000122,P
HBZ,GO:0000122,P
HCFC1,GO:0000122,P
HCFC2,GO:0000122,P
HCLS1,GO:0000122,P
HDAC10,GO:0000122,P
HDAC1,GO:0000122,P
HDAC2,GO:0000122,P
HDAC3,GO:0000122,P
HDAC4,GO:0000122,P
HDAC5,GO:0000122,P
HDAC7,GO:0000122,P
HDAC8,GO:0000122,P
HDAC9,GO:0000122,P
HDGF,GO:0000122,P
HELT,GO:0000122,P
HES1,GO:0000122,P
HES5,GO:0000122,P
HES6,GO:0000122,P
HES7,GO:0000122,P
HESX1,GO:0000122,P
HEXIM1,GO:0000122,P
HEXIM2,GO:0000122,P
HEY1,GO:0000122,P
HEY2,GO:0000122,P
HFE2,GO:0000122,P
HHEX,GO:0000122,P
HIC1,GO:0000122,P
HINFP,GO:0000122,P
HIPK2,GO:0000122,P
HIST1H1B,GO:0000122,P
HIST1H1C,GO:0000122,P
HIST1H1D,GO:0000122,P
HIST1H1E,GO:0000122,P
HIST2H3A,GO:0000122,P
HIVEP1,GO:0000122,P
HMBOX1,GO:0000122,P
HMG20A,GO:0000122,P
HMGA2,GO:0000122,P
HMGB1,GO:0000122,P
HMX1,GO:0000122,P
HNF1B,GO:0000122,P
HNRNPA2B1,GO:0000122,P
HNRNPU,GO:0000122,P
HOMEZ,GO:0000122,P
HOXA2,GO:0000122,P
HOXA7,GO:0000122,P
HOXB13,GO:0000122,P
HOXB3,GO:0000122,P
HOXB4,GO:0000122,P
HOXB8,GO:0000122,P
HOXC8,GO:0000122,P
HOXD8,GO:0000122,P
HOXD9,GO:0000122,P
HSBP1,GO:0000122,P
HSF1,GO:0000122,P
HSF4,GO:0000122,P
ID1,GO:0000122,P
ID2,GO:0000122,P
ID3,GO:0000122,P
ID4,GO:0000122,P
IFI16,GO:0000122,P
IFI27,GO:0000122,P
IFNG,GO:0000122,P
IGBP1,GO:0000122,P
IGF2,GO:0000122,P
IKZF5,GO:0000122,P
IL1B,GO:0000122,P
IMPACT,GO:0000122,P
INSM1,GO:0000122,P
IRF2BPL,GO:0000122,P
IRF2,GO:0000122,P
IRF3,GO:0000122,P
IRF7,GO:0000122,P
IRF8,GO:0000122,P
IRX1,GO:0000122,P
IRX2,GO:0000122,P
ISL1,GO:0000122,P
JARID2,GO:0000122,P
JAZF1,GO:0000122,P
JDP2,GO:0000122,P
JUNB,GO:0000122,P
JUND,GO:0000122,P
JUN,GO:0000122,P
KANK2,GO:0000122,P
KAT5,GO:0000122,P
KCNIP3,GO:0000122,P
KCTD1,GO:0000122,P
KDM1A,GO:0000122,P
KDM2B,GO:0000122,P
KDM5A,GO:0000122,P
KLF10,GO:0000122,P
KLF11,GO:0000122,P
KLF12,GO:0000122,P
KLF16,GO:0000122,P
KLF2,GO:0000122,P
KLF3,GO:0000122,P
KLF4,GO:0000122,P
KLF5,GO:0000122,P
KLF8,GO:0000122,P
KMT5A,GO:0000122,P
LCOR,GO:0000122,P
LDB1,GO:0000122,P
LDB2,GO:0000122,P
LEF1,GO:0000122,P
LEFTY1,GO:0000122,P
LEP,GO:0000122,P
LMCD1,GO:0000122,P
LMO1,GO:0000122,P
LOXL2,GO:0000122,P
LRP8,GO:0000122,P
LRRFIP1,GO:0000122,P
LYAR,GO:0000122,P
MAD2L2,GO:0000122,P
MAEL,GO:0000122,P
MAF,GO:0000122,P
MAFK,GO:0000122,P
MAGEA1,GO:0000122,P
MAGEA2,GO:0000122,P
MAP2K5,GO:0000122,P
MAX,GO:0000122,P
MBD1,GO:0000122,P
MBD2,GO:0000122,P
MBD3,GO:0000122,P
MBD3L1,GO:0000122,P
MBD3L2,GO:0000122,P
MCPH1,GO:0000122,P
MDFI,GO:0000122,P
MDM2,GO:0000122,P
MDM4,GO:0000122,P
MECP2,GO:0000122,P
MED1,GO:0000122,P
MED25,GO:0000122,P
MEF2A,GO:0000122,P
MEF2C,GO:0000122,P
MEIS2,GO:0000122,P
MEN1,GO:0000122,P
MEPCE,GO:0000122,P
MIER1,GO:0000122,P
MIER2,GO:0000122,P
MIER3,GO:0000122,P
MITF,GO:0000122,P
MLIP,GO:0000122,P
MLX,GO:0000122,P
MLXIPL,GO:0000122,P
MMP12,GO:0000122,P
MNT,GO:0000122,P
MOSPD1,GO:0000122,P
MSC,GO:0000122,P
MSX1,GO:0000122,P
MSX2,GO:0000122,P
MTA1,GO:0000122,P
MTA2,GO:0000122,P
MTA3,GO:0000122,P
MTDH,GO:0000122,P
MTF2,GO:0000122,P
MXD1,GO:0000122,P
MXD3,GO:0000122,P
MXD4,GO:0000122,P
MXI1,GO:0000122,P
MYB,GO:0000122,P
MYC,GO:0000122,P
MYOCD,GO:0000122,P
MYPOP,GO:0000122,P
MYT1L,GO:0000122,P
MZF1,GO:0000122,P
N4BP2L2,GO:0000122,P
NCOA2,GO:0000122,P
NCOR1,GO:0000122,P
NCOR2,GO:0000122,P
NEDD4L,GO:0000122,P
NEUROG3,GO:0000122,P
NFATC2,GO:0000122,P
NFE2L3,GO:0000122,P
NFIA,GO:0000122,P
NFIB,GO:0000122,P
NFIC,GO:0000122,P
NFIL3,GO:0000122,P
NFIX,GO:0000122,P
NFKB1,GO:0000122,P
