"GLI1_UP.V1_UP","E2F1_UP.V1_UP","EGFR_UP.V1_UP","ERB2_UP.V1_UP","GCNP_SHH_UP_EARLY.V1_UP","GCNP_SHH_UP_LATE.V1_UP","RAPA_EARLY_UP.V1_UP","HINATA_NFKB_IMMU_INF","HINATA_NFKB_MATRIX","CYCLIN_D1_KE_.V1_UP","CYCLIN_D1_UP.V1_UP","CSR_EARLY_UP.V1_UP","CSR_LATE_UP.V1_UP","AKT_UP_MTOR_DN.V1_UP","AKT_UP.V1_UP","MTOR_UP.V1_UP","PIGF_UP.V1_UP","VEGF_A_UP.V1_UP","BCAT_GDS748_UP","BCAT.100_UP.V1_UP","ATF2_S_UP.V1_UP","ATF2_UP.V1_UP","WNT_UP.V1_UP","ATM_DN.V1_UP","P53_DN.V2_UP","RELA_DN.V1_UP","P53_DN.V1_UP","BCAT_BILD_ET_AL_UP","E2F3_UP.V1_UP","MYC_UP.V1_UP","SRC_UP.V1_UP","SNF5_DN.V1_UP","CAMP_UP.V1_UP","LTE2_UP.V1_UP","MEK_UP.V1_UP","RAF_UP.V1_UP","PRC1_BMI_UP.V1_UP","PRC2_EED_UP.V1_UP","PRC2_EZH2_UP.V1_UP","PRC2_SUZ12_UP.V1_UP","JNK_DN.V1_UP","BRCA1_DN.V1_UP","CTIP_DN.V1_UP","PKCA_DN.V1_UP","MTOR_UP.N4.V1_UP","PTEN_DN.V2_UP","DCA_UP.V1_UP","ESC_J1_UP_EARLY.V1_UP","ESC_J1_UP_LATE.V1_UP","ESC_V6.5_UP_EARLY.V1_UP","ESC_V6.5_UP_LATE.V1_UP","ALK_DN.V1_UP","BMI1_DN_MEL18_DN.V1_UP","BMI1_DN.V1_UP","MEL18_DN.V1_UP","PTEN_DN.V1_UP","NOTCH_DN.V1_UP","EIF4E_UP","CRX_DN.V1_UP","CRX_NRL_DN.V1_UP","NRL_DN.V1_UP","RB_DN.V1_UP","RB_P107_DN.V1_UP","RB_P130_DN.V1_UP","CAHOY_ASTROCYTIC","CAHOY_ASTROGLIAL","CAHOY_NEURONAL","CAHOY_OLIGODENDROCUTIC","RPS14_DN.V1_UP","IL15_UP.V1_UP","IL2_UP.V1_UP","IL21_UP.V1_UP","PDGF_ERK_DN.V1_UP","PDGF_UP.V1_UP","TGFB_UP.V1_UP","YAP1_UP","SIRNA_EIF4GI_UP","HOXA9_DN.V1_UP","SINGH_KRAS_DEPENDENCY_SIGNATURE_","STK33_NOMO_DN","STK33_NOMO_UP","STK33_SKM_UP","STK33_UP","KRAS.AMP.LUNG_UP.V1_UP","KRAS.DF.V1_UP","TBK1.DF_UP","TBK1.DN.48HRS_UP","NFE2L2.V2","CORDENONSI_YAP_CONSERVED_SIGNATURE","JAK2_DN.V1_UP","KRAS.300_UP.V1_UP","KRAS.50_UP.V1_UP","KRAS.600_UP.V1_UP","KRAS.600.LUNG.BREAST_UP.V1_UP","KRAS.BREAST_UP.V1_UP","KRAS.KIDNEY_UP.V1_UP","KRAS.LUNG_UP.V1_UP","KRAS.LUNG.BREAST_UP.V1_UP","KRAS.PROSTATE_UP.V1_UP","LEF1_UP.V1_UP"
,"GRWD1","IRF1","SERHL2","LUC7L3","GNL3","MATN1",,,"PPM1F","KIF22","REST","ITGA6","CIR1","PDK3","CDC20","MMRN1","THY1","GAD1","EEF1A2","PAX1","NNAT","CKAP4","FSTL3","PYY","JUNB","ProSAPiP1","IGSF8","PDXP","EXOSC5","WTIP","NCAN","CHST5","ABCC3","PKIA","OPN3","RGS6","SLC12A8","GPM6B","REST","CTSZ","FCGR2C","IFI6","NR1I3","TBRG4","LCN2","BTN3A1","POLH","GATA6","MYB","NENF","CATSPERG","ASPH","PIEZO1","STX1A","FCER1G","C6orf15","SSSCA1","SNTG2","ARL4D","PPARGC1B","FAM92A1","COL6A1","PDZK1","SLC27A1","GLIPR2","CRH","FBXO7","MX2","C1orf20","TNFSF11","LAMP3","TRAF5","KLF10","HRH1","MOCS2","SPRR1B","MPO",,"USP44","GPR137B","TLR1","MMP1","GABRA6","S100P","OSTM1","UBE2J1","DRD5","AGFG2","CACNB4","HEY1","HEY1","HEY1","GFI1","AMELY","TRIM9","TMEM176B","GFI1","APOH","DBN1"
,"HSPBP1","CEBPD","AKR1B10","NAP1L1","COPB1","CDK10",,,"RASSF7","GPT","SLC30A1","IGFBP3","IL1R1","GCH1","DHCR7","RECQL","PSMB8","UBE2N","SERPINI1","C1orf115","ITGA8","LCN2","TRIM31","OSGIN1","GLS2","PLCE1","DACH1","ZNF703","FLJ10661","LOC254896","VAMP5","CD74","SEPT10","TGFBI","LEPREL1","AZU1","FPR3","C7orf43","PCBP3","HSD3B1","TRPA1","HOXB1","RTBDN","KIAA0020","ZNF549","RAI1","PCMTD2","TMPRSS2","AZI1","HBG2","ARHGAP4","HBEGF","COL16A1","HBEGF","NYNRIN","TFDP3","ISOC2","SLC24A1","SLC16A6","MEF2C","TMEM54","NAA40","AURKB","RSPO1","ATP8A1","MYO5B","LHFP","PADI2","CD3EAP","CAPN10","EGR2","CETN2","ZNF460","SNAI1","CDIPT","CA2","GPR137B",,"BEND6","CCL4","RGS1","TFPI2","TNNT2","CLPB","ITPK1","MTFR1","PFN2","ITGB2","TYMP","TERT","TERT","TERT","KCNK15","CLPS","SPARCL1","DEFA5","KCNK15","DHRS9","SLC43A3"
,"NAB1","MPZL2","GUCY1A3","RBM39","PTPRCAP","GABRB2",,,"KDM5C","ANPEP","FJX1","FABP5","CD55","IFIT1","PREP","IRAK1BP1","RFPL1","COTL1","IHH","GSTT2","TNFSF18","VAX2","CNTFR","NFIX","ADAMTS13","SOX9","WIPI1","BAI2","RPP40","LOC100506127","CXCL10","UPP1","DAB2","EGLN3","STS","NR0B2","PLAG1","SLC14A1","DCP2","GNAZ","GPR6","IL8","PSMC3IP","IL7R","ALDH1A3","NTN3","METTL20","PRG1","NARF","SOAT2","DECR2","C21orf7","GAL","NRP1","HOXB2","GABRR1","FABP7","PFKFB2","DHRS3","EBPL","PCBP2","ACTG2","CUEDC2","PLD2","WISP2","STX1A","PSTPIP2","LST1","RGS16","ZNF343","PRSS2","SPAG5","RAB35","CDK17","CDK14","ESYT1","KIAA1598",,"SLC43A1","FAM70A","CFL2","DUSP5","RAB30","INPP4B","FAM57A","UBQLN2","VSIG1","ITGB5","RAB17","LILRA6","LILRA6","LILRA6","HPN","NPAS1","GPM6A","ETS1","HPN","AHSG","C13orf15"
,"CDK5R1","ETS2","PTPRE","E2F3","ZKSCAN1","HERC3",,,"KIF22","MMP15","PHLDB1","TIMP3","FLT1","FAM129A","MYO7B","ZNF117","CCDC57","HHEX","ABCB1","SCIN","ZNF639","POMC","CD8A","RND2","TNFRSF9","EXPH5","TAGLN","PXMP2","GPD1L","SLC26A1","C5orf28","ARF1","RIN2","PPAP2A","CLDN1","LUZP4","ZBTB20","VWA5A","SLC13A3","KLK7","RPP25","TERT","WISP2","PIR","ERN2","CTSG","DPP7","ST5","TMEM121","GPRC5C","VEGFC","TNFRSF9","BMP4","IL7R","DEFA5","SLC5A4","NUDCD2","RPGRIP1","ARHGAP10","EXT1","IFT27","CENPK","NPPB","PPP1R3D","CASP1","PENK","SEMA3D","ZMAT3","C19orf28","SPP1","EHF","FTSJD2","ZBTB24","BMPR2","FAM45A","EID1","MS4A3",,"JPH1","ARL5B","IL1B","TDO2","OPRK1","CCNG2","RIN2","CDKN2A","ALB","LHFP","MATN4","DHRS9","DHRS9","DHRS9","PRDM1","PRRX1","XK","SCG5","PRDM1","CATR1","PAX6"
,"ACTN3","ELL2","ENO2","JMJD8","SIX4","ATF6",,,"PTS","CCKAR","FAM107B","FARSB","FXR2","MSMO1","IFIT2","RFK","LTB","SRPX","ERVMER34-1","HOXD10","MLF1IP","BTG4","TEKT2","FPR3","VDR","PITX1","SIRPA","CSPG5","PIM2","C1orf148","PITPNB","PRMT1","CLMN","EPHA2","SGPP1","GAD2","MCTP1","OTUB2","SPTB","KCNJ9","CRYGD","PRPH2","RBPJL","RRP12","AGPAT4","ATP1B2","ZBTB16","MTTP","C9","C10orf58","KRT81","GADD45A","HBEGF","FGF21","C8orf17","SCTR","SRXN1","RTBDN","PPAP2C","REEP6","MCM6","ANAPC11","ATP2A3","TTPA","LOX","HPCA","PHLDB1","LINC00461","CLSTN3","ZBTB32","TEX13A","TNNT2","ZNF238","SPHK1","LLGL1","PERP","DYNLT3",,"TMEM55A","GPRIN3","HBEGF","DUSP1","FAM30A","KIF3A","FAM69A","CALM3","ARHGAP28","MARCKS","SERPINB4","CD1A","CD1A","CD1A","ETS1","C3orf51","DYNC1I1","RETN","ETS1","CNGB3","NTSR1"
,"FNBP1","EGLN3","CADPS2","MPDZ","PRC1","GAS8",,,"ADRA2B","PCSK7","PTPN12","SHCBP1","SPHK1","CRLF1","SLC2A1","GGCX","AKR1B10","GCH1","HYAL3","VPREB3","TSPAN32","NTSR1","FGF5","ALOX5AP","FOSB","COL17A1","C4orf36","CHST7","N6AMT2","VPS37D","FAM105A","C21orf33","RAB40B","TBC1D8","NMU","AOC4","C2CD2","TMEM35","C10orf116","KCND3","CCKBR","TTR","UPB1","MAP1A","PRKY","USP29","TMEM38A","SLCO2A1","CGNL1","CHST15","SCN9A","FOSL1","CRISPLD2","PMEPA1","KCNQ4","PGP","VPS72","GNAT1","HSPA1B","ALPL","GCLM","RRM1","RASGRF1","NIPAL3","MORC4","SYT13","CRIP2","ATP8B4","TNFRSF12A","PIM2","PPAP2C","TSPAN5","DDIT4","IL1RL1","GTPBP3","HSPD1","SESN1",,"OBSL1","ADAMDEC1","ASB2","RHOB","HCN4","DSN1","TNS3","CNDP2","MTBP","MDFIC","C9","ADAM8","ADAM8","ADAM8","FNDC8","MMP9","PLCB1","NTM","FNDC8","GRK5","DKK4"
,"CYBA","S100A8","ST13","MCM6","YWHAE","ISG20L2",,,"REN","SYN1","MAPRE1","IL7R","TACSTD2","GPD2","PTPN14","XIST","GUCY2D","FZD7","BMP4","TNFSF18","BAIAP3","STS","PHKG1","CD69","KDM5D","CD9","SLC35C2","SHANK3","SLC19A1","PDZD7","CD48","ATXN7L3B","NPC2","OPN3","RSAD2","COL10A1","DNAJC12","SERPINB2","PCSK1N","PPFIA4","AIM2","PPEF1","AGXT","SLC6A9","PC","ZNF639","DAB2","DAB2","C5orf25","RAI1","RIBC2","TGFB2","CSF2","WNT5B","RBP3","LOC652147","DPY30","DPF3","COL19A1","MC1R","MCMBP","EDN2","KIF22","NTSR2","SERPINE1","MEF2C","CDR2L","ANXA3","CALML4","CD3EAP","CAPN10","LUZP2","SNRPD3","CYP26B1","DRAM2","PSME1","N4BP2L2",,"BTN3A3","KITLG","LY96","GBP3","CYP3A7","PTPRG","LRP12","TMCO1","ALDH3A1","NDRG1","MEOX1","SIGLEC15","SIGLEC15","SIGLEC15","CXCL3","KCNC2","GABRA1","TNNT2","CXCL3","CX3CL1","ZAP70"
,"PTPRU","EGFR","PDE4B","TNNC2","NOP56","B3GNT6",,,"LCN2","SCAP","GNL2","EXOSC9","CXCL1","FAM3B","ABCA2","RASGRP3","NFKB2","AQP3","SORBS2","CACNA2D3","GPR63","FNTB","ITIH3","CYP2D6","SIRT4","CYR61","DKFZp434J0226","C12orf34","C19orf48","LGI4","CKAP2","SIL1","CYP1B1","ATXN1","C4orf19","PCDHB12","SLC35D2","NR0B2","OPA3","GHRH","TTLL7","CCL20","CRYGB","ASS1","ANGPTL4","ZSCAN12","PRSS8","CTSC","SUV39H2","GATA4","PYY2","MMP7","JAG1","C3AR1","CAPN11","CHRNA4","FOXD2","PPAP2C","ANKRD33B","GALNT10","CCNE1","PRDX4","GC","ATP1A1","FAS","TRHDE","BFSP2","PTPRE","PIM2","BMP2","ABCC8","FSTL4","MMP17","CASP5","RFTN1","TCTN1","CYP1B1",,"LAMP3","CDC37L1","ST20","CPEB4","HIST1H2BN","IFI44","CLCA2","SOX2","TALDO1","PDLIM2","PSG2","GLDC","GLDC","GLDC","GLRX","KRT33B","ADCY1","PRKG2","GLRX","TG","FOXG1"
,"PBX3","RCAN1","CRLF1","ICAM5","VPRBP","PHKA1",,,"SUPT5H","RCVRN","PPIF","TOMM34","GPR56","KRT23","PPAN","PSPHP1","RHBDD3","C9orf3","HOXA1","RSPH6A","ENDOG","EDA","NPC1L1","PRRG3","LHCGR","SCNN1A","MTCH2","ZDHHC14","PES1","ITGB1BP3","CX3CR1","NDRG2","KIN","LPHN2","MICAL2","SLCO4A1","OSTM1","AMMECR1","OR7E47P","KDM5C","LOC79999","ZNF528","LECT2","GOT1","CUEDC1","PTPRT","FXYD3","CA4","SSX2IP","FGB","ZNF639","ITGA4","CSF1","COL7A1","TMEM151B","ABTB2","MIRLET7BHG","MC1R","IMPG1","C10orf99","SLC35B2","TEK","FADS2","RARRES1","TIMP1","NTS","IFFO1","CR1","SLC29A2","TMPRSS6","PIM1","CALML4","ATXN2","FLT4","YWHAZ","SAA1","IFI16",,"PNMA2","COL6A3","CD36","TMEM71","LENEP","GLRX","CCDC6","P4HTM","ECM2","PHGDH","RBP3","KIF5C","KIF5C","KIF5C","TERT","COL9A3","CHGB","ADAMTS3","TERT","CNTN5","OBSL1"
,"TPD52","LIF","IL8","DHFR","CDK1","KRT14",,,"FZD5","ABCA2","GTPBP4","MT1L","C1orf9","ADAM10","S100A14","THSD7A","IRF5","KCTD12","CRYM","KRT81","PLXNB3","THYN1","RAB3A","CH25H","LILRP2","PODXL","MYADM","PTCH1","NDUFAF4","PRADC1","ZNFX1","COPE","MARCKS","GABBR2","KLF6","EYA3","CCK","RGS17","BFSP1","ZNF204P","CD3D","PKD2L1","GHRL","CALML4","LAMA3","NRXN2","CD82","FAM134B","TMEM42","PTPN13","STC2","LHFPL2","PDCD1LG2","BDKRB2","LGALS13","SLC17A9","DOM3Z","COL19A1","ZFP36L2","BST1","SPICE1","FEN1","AURKA","FRMD5","SEMA3B","RPRML","GPR17","SMAD3","KCTD12","EVPL","DGKG","MAP2","PSMC3","JUNB","SAMSN1","CTSC","GALNT7",,"C4orf32","AQP9","C4orf34","TP53INP1","MAGEA12","PID1","PEG10","CXCL2","SHMT1","PMP22","FLT3LG","PPBP","PPBP","PPBP","FAM155B","KCNA10","PLGLA","C3AR1","FAM155B","KRT8P12","LMO2"
,"ARHGEF1","LOXL2","PTMS","TNPO1","PCSK2","PTGDR",,,"PPID","TRPC3","CRISPLD2","TUBA3C","TMPRSS4","TACSTD2","GSDMA","GLRB","APOBEC3G","WNT11","EFEMP1","ITGA8","G0S2","GDF15","CHGB","NFKBIA","CTF1","AGR2","TMEM63B","TMOD2","LEPREL4","SLC35F4","MYH2","KIAA0040","SASH1","PDK4","UGT8","AMMECR1","AATK","AATK","ARL4C","CBX4","C7orf63","PTGFR","GPR155","DDIT3","SAMD4A","CLCN2","ABCG1","TEX264","RPRD2","CAPN6","CH25H","JAG1","C8orf4","PDCD1LG2","SPOCK1","KCNN4","OSBPL10","GRTP1","GRTP1","ST8SIA1","EI24","KHDRBS3","PPP1R15B","RASA2","PHACTR3","DRD1","GAB3","FLVCR2","MAFK","DGKG","ZIC4","KBTBD11","KBTBD11","TBX3","RAB40C","GIN1","H2BFS",,"ABHD14B","IL7R","HIST1H2AC","DOCK4","CLEC4A","CXCL1","ADCY9","SCP2","UBE2N","SCHIP1","LARGE","SCG3","SCG3","SCG3","RELN","ALPP","CRYAB","FABP3","RELN","NPY6R","FHL1"
,"MCM10","ATXN1","PLEKHB1","AURKB","MOB1A","TCTA",,,"IFITM1","ABLIM1","KPNA4","PDLIM5","ADAM10","SPRR2A","SQLE","SLC4A7","COLQ","CASP9","HBA2","CST1","GALNT6","POSTN","SPAG4","CXCL6","KCNC4","AXL","LOC648470","E2F7","PRR7","MAMDC4","LILRB3","SLC25A11","PLAGL1","CAPN2","OSBPL1A","CYP2B6","ERMAP","ESM1","GMIP","PDE6A","SLC43A1","UPK1B","TSKU","SQRDL","GNA14","GPA33","HOMER1","HTRA1","CSNK1G1","SLC22A23","CEBPG","COL16A1","NRP2","HAS2","BCL2L14","ZFP112","MAPK8IP1","PPP1R42","ARG2","PCOLCE","CTDSP1","MCM7","SIM2","GRIN2C","ITGBL1","KCNIP4","LCORL","LY96","BMP2","MPP6","MFSD7","SERINC1","SDC3","ETS2","COX8A","FRAT2","PECAM1",,"IL22RA2","CNIH3","DNAJC15","C5AR1","GATA1","TMEM135","IL1R1","DDR1","ATP5G3","SDPR","MYH13","HPN","HPN","HPN","STC1","USH2A","HPCAL4","ST3GAL6","STC1","MYO7B","SLC17A9"
,"BRCA2","EXT1","PCDH8","ZNF281","SACM1L","SCN2B",,,"SMTN","CGREF1","PLAUR","TMEM130","WFDC12","SPRR1A","DUOXA1","PHF3","PPP6R2","PDE4D","CD9","RASGRP1","PITX1","AP1G2","SOX21","TNNI3K","GADD45B","MYCL1","CAMKMT","SNX10","C16orf7","FUT5","ITGB2","WBP1","SORL1","ENO2","C6orf145","SH2D2A","C1orf63","GFPT2","HBEGF","SCNN1B","WDR25","PDGFRL","RETSAT","PSPH","C14orf56","GRIN2D","SIL1","LGMN","METTL20","WLS","GDF15","TNFSF9","IL7R","COL16A1","NR2F1","RFPL1","ATP5J2","RDH12","MEF2C","GADD45A","ARTN","H2AFV","NSMCE1","NRARP","LGALS3","BCL11A","ABHD8","RGL1","LILRB4","KIF21B","KRT6B","MRPS11","FDX1","CST6","PTPMT1","SPG20","IL8",,"TET1","SDC4","NBEAL1","MILR1","ASIP","FLRT3","NUP62CL","RNMT","NR1I2","SERPINE1","GH1","PCDH8","PCDH8","PCDH8","CRCT1","GULP1","CAB39L","LOC100289255","CRCT1","LOC645340","FGF3"
,"PRM1","DRAM1","UPK3B","IRF5","CCND2","SST",,,"BCL9","MC2R","SNAI1","TRPC3","PDK3","KCNE3","MTHFD1","AGL","DBH","KLRC3","DUSP4","PAGE4","VIPR2","GLI1","XCL1","CYP2C8","PPAN","TUBA4A","ST6GALNAC2","SAC3D1","PLA2G4A","LOC283854","IFI44L","HLA-DRB5","RCAN1","ST13","C1GALT1","ERMAP","KLHL28","SETBP1","LYPD1","SLC34A1","HAAO","PPP2R3B","CD36","IFI30","NNAT","IFNA10","DLL1","CYP26A1","SYT3","KIF21A","RBM17","CSPG4","TGFB2","TEK","SSBP2","DGKI","PTS","POLG2","RS1","MLF1","PALMD","E2F1","CRB3","IMPA2","CAPS2","CAMK2B","C11orf9","GPR137B","HEG1","KCNA3","LOC646621","CORO2B","ATAD2B","LIF","CXorf56","SPRR1A","IFT57",,"PLXND1","EGR3","DYX1C1","EGR1","GNGT2","GK3P","LINC00342","CNOT4","AIFM2","SGK1","ZNF821","HTR7","HTR7","HTR7","LIF","SMPX","GABRB1","ADAM8","LIF","CRISP1","PMEPA1"
,"DCTPP1","CXADR","TPK1","LBR","VPS4B","KSR1",,,"BATF","RXRA","REPS2","NUP88","CXCL16","LGMN","IDH3A","TWF1","UBE2L6","GADD45G","DBNDD1","PIR","LOC647835","C11orf9","CD36","LALBA","GNRH1","KRT15","NDRG4","CDKN1C","TMEM97","ETV7","CD9","TYMP","UST","PTPRE","TEAD1","ANKRD46","ANXA10","MALL","KRT15","C2orf55","KLK8","GNG7","YJEFN3","KLHL7","RHBDF1","MYOZ3","NANOS1","DPP4","SASH1","EPB41","CFTR","CXCL1","LCP1","MEOX1","FGF1","PROC","ANKRD16","RPE65","TNFAIP3","ST3GAL1","HAT1","HMGN2","TRAF4","NMB","PCDH17","GABRD","FAM89A","TNFAIP2","CDH3","HEG1","PAQR6","C4orf6","FKBP2","PHLDB1","FAM35A","LAP3","RNF11",,"PPAPDC2","PTX3","NOV","MIR22HG","C8B","SPAG4","TMEM40","BAMBI","ALDH3A2","SH2D4A","C8A","CHGB","CHGB","CHGB","NDOR1","A2M","ERC2","CLSTN3","NDOR1","OPLAH","KRT13"
,"PACS1","CLDN1","ST6GALNAC2","HMGCL","BOK","CEBPA",,,"GLI1","DVL1","TRNP1","EML1","KCNH3","PFKP","STEAP1","ARMC6","ENPP2","LY6G6D","DNAJC3","IFNA21","GMPPB","GALNT6","AKAP5","SLC38A3","ZFP36","AIM1","LOC100288594","RAB9B","FLJ41649","SMO","LCP1","ATP1A1","PIGH","SH3GLB2","FCHSD2","AATK","HIST1H2BG","DKK2","SPIB","YAP1","APBB1","SLC9A5","UGT2A3","TIMM44","CTNNBIP1","CLPB","CYP2S1","ESX1","TTPA","APOB","ZNRF4","SLC7A11","SLCO4A1","LEPREL2","HOXC8","ODZ3","EIF4A3","ARHGAP10","PLA2R1","PPARA","DSN1","CD81","RUVBL2","IL17RD","KAZALD1","GABRG2","DUSP19","ITGAX","CCL21","LGALSL","ARHGAP32","GNMT","NDN","IL11","SNX7","ZBED1","FAS",,"UCA1","RGS2","MIR21","IL1A","FCRL2","SMYD3","STEAP1","PTK2","ZNF486","SHCBP1","DOT1L","CXCL5","CXCL5","CXCL5","IFNA8","MYCN","PCDH9","C17orf53","IFNA8","KRT36","WASF3"
,"RELL1","PLAGL1","ASPH","ANKRD13C","LEFTY1","AMOT",,,"CRIP1","PRRC2A","HLX","PRIM1","CTNS","ADORA2B","MS4A7","BPGM","TNFSF12","TP53I3","FLVCR2","KIF20A","NES","FGF18","NDRG4","TNR","EGR3","LPCAT4","SCAMP4","EPHX4","MPHOSPH10","NAT8L","MT3","COX8A","SOAT1","LRP8","OPTN","PSG7","MADCAM1","TSPAN7","SEMA3E","BMP7","CNTN6","ODAM","GLI2","SLC39A14","KCNJ3","CUBN","KANK3","PRSS12","RYR3","OCLN","CA3","IL7R","PLAT","GDF5","SEPP1","BARX2","CKMT2","WDR31","KCNE2","MKNK1","ARHGEF40","NXT1","PARS2","RNF24","CCDC28B","CPNE4","RNF122","CAPG","REST","RRP7B","KCNC3","KIR3DL2","NRAS","CDKN2AIP",,"ASS1","PIK3R3",,"CCR10","C7orf74","FNBP1L","DYX1C1","MYOZ1","ISG20","C3orf64","KIAA0907","ZNF326","SLIT2","KITLG","FABP3","FABP3","FABP3","SNAP25","SYP","TCEAL2","CECR1","SNAP25","FOXH1","STRA6"
,"FAM60A","GAL","ITGB6","VPRBP","SYT4","NR2F6",,,"FOXK2","GP2","BCAR1","TUBG1","AK4","PTPN14","IFI35","ZC3H14","MGAT5",,"SASH3","B3GALT2","SMARCAL1","CYP4A22","SLC6A1","CTLA4","PAFAH1B2","IFI27","DTNBP1","CBX2","FUT5","SRMS","GOT1","CYBA","C6orf97","IGF2BP2","CDC42EP3","USP46","SMR3A","PLCB1","SMPD2","HOXC4","HIST1H3E","TRAF1","RNASE1","LARS2","KLHL28","CDC45","MKL2","SEPP1","SMPD2","GPX3","TTLL2","ZC3H12A","TNFAIP6","FURIN","AZU1","RNF39","C16orf53","IER3","RFX2","FAIM","MDM2","TAGLN","POLR2I","ELF5","LBP","ITPKA","C20orf57","MPL","ZBTB32","HK2","PAIP2B","HEBP2","TRAF5","TAGLN",,"ATF3","FBXL5",,"F13A1","HAVCR2","HIST1H2AG","MIR21","EFNA3","EIF4B","ATP11B","CHMP6","ESR2","STMN1","EGR4","CGA",,"CGA","TNFSF15","LIF","GPR37","AURKC","TNFSF15","ANGPTL4","COL9A3"
,"ELAVL1","ANKRD57","MAOA","C13orf15","SLC29A1","HAB1",,,"EGR3","EIF5A","FAM180A","MMP3","SLC44A1","FLT1","EEF1E1","TWISTNB","LCAT",,,"MRAS","LIPE","SERPINF1","VAV2","AVPR2","MS4A3","TMEM30B",,"LEF1","TOP1MT","LOC642926","GTF3A","NDUFV1","MBP","FADS2","S100P","COLEC11","NMT2","RASL12","ACTL8","ABCD1","VAV1","SERPIND1","LPO","GAS2L1","UPK2","MCTP2","AUP1","SEL1L3","CELSR3","ZDHHC9","THAP3","CHST11","SLC19A1","PLAT","FNBP1L","ANXA2P3","SNX8","BUB1B","CCDC64","SNTA1","AHCY","COL1A1","C17orf90","ASNS","UGT1A1","COL19A1","FAM57A","ADAMTS6","RPP25","KIF13A","LOC96610","ACOT11","C7orf54","CCDC93",,"FBXO46","IER5",,"FAM173A","IL1A","PRTFDC1","RGS1","GPR44","CLDN5","STX12","SDHB","UBE2D1","TGFB2","TAF7L","TAPT1",,"TAPT1","ITGA2","KLK6","SIGLEC15","SLCO5A1","ITGA2","LPPR1","EDAR"
,"INO80E","MGAT4A","BACE2","AFF4","CD80","HOXD10",,,"MARK3","SPOCK2","YOD1","KRT25","ATF3","C1orf9","HIVEP3","ABCE1","HTT",,,"ANKRD11","POLD1","CXCL1","PLTP","MAGEC2","ATF3","GSTT1",,"HRK","TAF5","LYZL4","SLC6A6","ACO2","ACOX1","KRT7","ARHGEF3","KRI1","BTBD3","PCBP3","SRPK3","CD83","LTC4S","RND2","GSTA4","CEBPB","COL13A1","IGKV3D-15","GADD45G","APOB","WT1","TMPRSS2","MLC1","NRP2","STX1A","ARL4C","C5orf13","ANGPTL7","VPS28","RGR","SNTB2","CALU","DUOXA1","SYCE2","RGL3","ADCYAP1R1","DYSF","EPHA7","CLN8","TRIM22","CAPN10","TMEM158","LAG3","ELP4","ATF3","EPHA4",,"MRPS30","CTSL1",,"DEFA6","FOXQ1","DUSP8","GPR137B","SPTA1","IFI44L","EML1",,"C1S","TGM2","L1TD1","SLC25A31",,"SLC25A31","DKFZp566H0824","SOX17","GRM5","CLEC4A","DKFZp566H0824","LILRA6","SPRR2B"
,"TINF2","PCDH9","NPC2","CLIP4","IDH2","VTN",,,"GCHFR","RHO","MESDC1","DCTPP1","PLAT","CLMN","UBE2C","DNAJB9","TLL2",,,"SLC13A3","FOXM1","FPR2","ME3","LGSN","FHL5","KRT18",,"HEY1","SLC25A22","PRR3","OLIG1","CNDP2","MAP3K5","PTMS","TFPI2","CXCL10","C10orf10","DUSP3","CCNT1","HNF1B","ZNF682","C8orf17","SP6","SLC39A4","NID2","LGALS7","DSCAM","PODXL","CCDC164","CA4","BDKRB2","ATP13A2","MMP3","PLAUR","CLPS","KLHL26","DEDD","KRT18","TNIP2","TFF3","RFC3","HAUS8","SNRPB","FGD6","COL8A1","MYT1L","EPN2","FBN2","TNFSF11","GPT","IL18RAP","CFDP1","NEU3","CYTH1",,"EIF3K","VCAN",,"SEMA3C","PPBP","GPR137C","ARL5B","GRP","AKT3","SNX24",,"CXCL12","THBS1","PTTG2","KCNK10",,"KCNK10","CDSN","C9orf38","CHGA","LOC157627","CDSN","TWIST1","SLC26A4"
,"MAP3K3","CAPN2","TNFRSF21","MRE11A","RYK","PARM1",,,"SLC6A3","SUPT5H","DIS3","ARHGEF1","FBXO6","GPX2","ZNF518B","RGS2","CLIP3",,,"STEAP1B","RNF43","P2RY2","NUMB","PF4V1","SAMSN1","S100P",,"TMEM121","TSSC4","PCP4","ACTL6A","TMED9","GOLM1","CXCR4","ALAS1","ARHGEF38","LOC643326","PAMR1","CLEC4E","TNFSF14","CTNNA3","CTAG1A","FMR1NB","RIMS3","PCSK7","HIST1H2BI","CD47","FOXA2","ADAMTSL4","PODXL","NFKBIL1","CDH13","EPHA2","C2CD2","GEMIN7","RRAD","TST","SGCG","SNTA1","CCDC64","BBC3","NCAPD2","RHOJ","HSD11B1","EREG","KIAA1239","ODZ3","CYFIP2","TMPRSS6","CD69","SCN9A","ATXN7","CBX4","KCNN4",,"CSDE1","HIST1H2BD",,"LOC649094","CFL2","FAM177A1","CDC37L1","SLC25A31","AKR1C3","TPST1",,"MCM10","TK1","PTN","RNASE1",,"RNASE1","IL8","CSF2","CA2","FUT5","IL8","RGS13","HOXB2"
