"GLI1_UP.V1_DN","GLI1_UP.V1_UP","E2F1_UP.V1_DN","E2F1_UP.V1_UP","EGFR_UP.V1_DN","EGFR_UP.V1_UP","ERB2_UP.V1_DN","ERB2_UP.V1_UP","GCNP_SHH_UP_EARLY.V1_DN","GCNP_SHH_UP_EARLY.V1_UP","GCNP_SHH_UP_LATE.V1_DN","GCNP_SHH_UP_LATE.V1_UP","RAPA_EARLY_UP.V1_DN","RAPA_EARLY_UP.V1_UP","HINATA_NFKB_IMMU_INF","HINATA_NFKB_MATRIX","CYCLIN_D1_KE_.V1_DN","CYCLIN_D1_KE_.V1_UP","CYCLIN_D1_UP.V1_DN","CYCLIN_D1_UP.V1_UP","CSR_EARLY_UP.V1_DN","CSR_EARLY_UP.V1_UP","CSR_LATE_UP.V1_DN","CSR_LATE_UP.V1_UP","AKT_UP_MTOR_DN.V1_DN","AKT_UP_MTOR_DN.V1_UP","AKT_UP.V1_DN","AKT_UP.V1_UP","MTOR_UP.V1_DN","MTOR_UP.V1_UP","PIGF_UP.V1_DN","PIGF_UP.V1_UP","VEGF_A_UP.V1_DN","VEGF_A_UP.V1_UP","BCAT_GDS748_DN","BCAT_GDS748_UP","BCAT.100_UP.V1_DN","BCAT.100_UP.V1_UP","ATF2_S_UP.V1_DN","ATF2_S_UP.V1_UP","ATF2_UP.V1_DN","ATF2_UP.V1_UP","WNT_UP.V1_DN","WNT_UP.V1_UP","ATM_DN.V1_DN","ATM_DN.V1_UP","P53_DN.V2_DN","P53_DN.V2_UP","RELA_DN.V1_DN","RELA_DN.V1_UP","P53_DN.V1_DN","P53_DN.V1_UP","BCAT_BILD_ET_AL_DN","BCAT_BILD_ET_AL_UP","E2F3_UP.V1_DN","E2F3_UP.V1_UP","MYC_UP.V1_DN","MYC_UP.V1_UP","SRC_UP.V1_DN","SRC_UP.V1_UP","SNF5_DN.V1_DN","SNF5_DN.V1_UP","CAMP_UP.V1_DN","CAMP_UP.V1_UP","LTE2_UP.V1_DN","LTE2_UP.V1_UP","MEK_UP.V1_DN","MEK_UP.V1_UP","RAF_UP.V1_DN","RAF_UP.V1_UP","PRC1_BMI_UP.V1_DN","PRC1_BMI_UP.V1_UP","PRC2_EED_UP.V1_DN","PRC2_EED_UP.V1_UP","PRC2_EZH2_UP.V1_DN","PRC2_EZH2_UP.V1_UP","PRC2_SUZ12_UP.V1_DN","PRC2_SUZ12_UP.V1_UP","JNK_DN.V1_DN","JNK_DN.V1_UP","BRCA1_DN.V1_DN","BRCA1_DN.V1_UP","CTIP_DN.V1_DN","CTIP_DN.V1_UP","PKCA_DN.V1_DN","PKCA_DN.V1_UP","MTOR_UP.N4.V1_DN","MTOR_UP.N4.V1_UP","PTEN_DN.V2_DN","PTEN_DN.V2_UP","DCA_UP.V1_DN","DCA_UP.V1_UP","ESC_J1_UP_EARLY.V1_DN","ESC_J1_UP_EARLY.V1_UP","ESC_J1_UP_LATE.V1_DN","ESC_J1_UP_LATE.V1_UP","ESC_V6.5_UP_EARLY.V1_DN","ESC_V6.5_UP_EARLY.V1_UP","ESC_V6.5_UP_LATE.V1_DN","ESC_V6.5_UP_LATE.V1_UP","ALK_DN.V1_DN","ALK_DN.V1_UP","BMI1_DN_MEL18_DN.V1_DN","BMI1_DN_MEL18_DN.V1_UP","BMI1_DN.V1_DN","BMI1_DN.V1_UP","MEL18_DN.V1_DN","MEL18_DN.V1_UP","PTEN_DN.V1_DN","PTEN_DN.V1_UP","NOTCH_DN.V1_DN","NOTCH_DN.V1_UP","EIF4E_DN","EIF4E_UP","CRX_DN.V1_DN","CRX_DN.V1_UP","CRX_NRL_DN.V1_DN","CRX_NRL_DN.V1_UP","NRL_DN.V1_DN","NRL_DN.V1_UP","RB_DN.V1_DN","RB_DN.V1_UP","RB_P107_DN.V1_DN","RB_P107_DN.V1_UP","RB_P130_DN.V1_DN","RB_P130_DN.V1_UP","CAHOY_ASTROCYTIC","CAHOY_ASTROGLIAL","CAHOY_NEURONAL","CAHOY_OLIGODENDROCUTIC","RPS14_DN.V1_DN","RPS14_DN.V1_UP","IL15_UP.V1_DN","IL15_UP.V1_UP","IL2_UP.V1_DN","IL2_UP.V1_UP","IL21_UP.V1_DN","IL21_UP.V1_UP","PDGF_ERK_DN.V1_DN","PDGF_ERK_DN.V1_UP","PDGF_UP.V1_DN","PDGF_UP.V1_UP","TGFB_UP.V1_DN","TGFB_UP.V1_UP","YAP1_DN","YAP1_UP","SIRNA_EIF4GI_DN","SIRNA_EIF4GI_UP","HOXA9_DN.V1_DN","HOXA9_DN.V1_UP","SINGH_KRAS_DEPENDENCY_SIGNATURE_","STK33_DN","STK33_NOMO_DN","STK33_NOMO_UP","STK33_SKM_DN","STK33_SKM_UP","STK33_UP","KRAS.AMP.LUNG_UP.V1_DN","KRAS.AMP.LUNG_UP.V1_UP","KRAS.DF.V1_DN","KRAS.DF.V1_UP","TBK1.DF_DN","TBK1.DF_UP","TBK1.DN.48HRS_DN","TBK1.DN.48HRS_UP","NFE2L2.V2","CORDENONSI_YAP_CONSERVED_SIGNATURE","JAK2_DN.V1_DN","JAK2_DN.V1_UP","KRAS.300_UP.V1_DN","KRAS.300_UP.V1_UP","KRAS.50_UP.V1_DN","KRAS.50_UP.V1_UP","KRAS.600_UP.V1_DN","KRAS.600_UP.V1_UP","KRAS.600.LUNG.BREAST_UP.V1_DN","KRAS.600.LUNG.BREAST_UP.V1_UP","KRAS.BREAST_UP.V1_DN","KRAS.BREAST_UP.V1_UP","KRAS.KIDNEY_UP.V1_DN","KRAS.KIDNEY_UP.V1_UP","KRAS.LUNG_UP.V1_DN","KRAS.LUNG_UP.V1_UP","KRAS.LUNG.BREAST_UP.V1_DN","KRAS.LUNG.BREAST_UP.V1_UP","KRAS.PROSTATE_UP.V1_DN","KRAS.PROSTATE_UP.V1_UP","LEF1_UP.V1_DN","LEF1_UP.V1_UP"
,,"STOM","GPN2","CAV1","CCL22","NAA15","VEGFB","LCP1","MT4","PIP5K1A","NPAS1","NFE2L1","GML",,,"LOC644099","ST3GAL4","INHBA","CCIN","GSDMB","SLC16A1","MXD4","FKBP1A","RNF25","PFDN2","HEBP1","HOXB9","SLC25A28","IFIT1","C21orf2","LTBP1","C5orf30","MTMR11",,,,,"ANGPTL4","DBNDD1","TOP3B","FGR","MEP1A","VAMP1","NNAT","ADAM18","TULP2","ME3","DNAJC15","KLF10","CPS1","GRIK2",,,"KLHL28","CCP110","CCDC82","TFB2M","EMB","APOA5","PDZK1","FAM65B","UNC79","GLRX","ZNF43","CGRRF1","S100A8","ETV5","OSR2","PEG10","CLDN14","SRY","AFF3","PCBD1","GLRA2","KYNU","NPY","LCP1","ARR3","FAM65B","ZBTB44","SGCA","KLK5","KLRC4","SUOX","FBLN1","LRRC37A","CNIH4","MAFK","GPR183","PES1","IL23A","STAT3","C6orf105","ECH1","MYO6","CMTM7","NRL","PTRF","PRICKLE1","PTPRF","LOC650610","EHHADH","NPPB","EEF1A2","FOXP3","OAS1","TAP1","CLDN10","EMID2","IGLC2","RPS6KA4","EP400","FAM117A","SPG21","RNF123","NIN","RNF123","BMP15","STYX","LIFR","MCM7","BSDC1","PML","KDM5B","CCNB2","GRHL1","BST2","STXBP1","DCT","DNAJA4","IFI16","C6orf123","FAM57A","RORB","SLC29A2","ASPHD1","LOC644963","MORC3","NOS2","HIST1H2AE","BICD2","FBXL14","STC1",,,,,"SOX18","FZD2",,"RANGRF","IL18R1","IL1R2","WDR36","IRF9","ICAM1","EMR1","ST3GAL6","UCHL1","RAC2","COPS4","OPN3",,,"ACOT11",,"MRPL20","BHLHB9","SYNPO","NAP1L2",,,"SYNPO","NAP1L2","IGF2-AS","SLC25A31","KCNJ3","CASS4","CETP","ESRRG","SLC6A9","CD48","IGF2-AS","SLC25A31","SOX10","FEZ1","TMEM14A","ZFPM2"
,,"C5orf41","GATA6","H2BFS","PGM3","ALG13","MSX2","ACSS1","RIMKLB","BCL2L2","MRPL18","SNTA1","DAGLA",,,"MXI1","MAN2A2","S100G","PAX2","TNFSF13","MOB1B","PRKCI","TPM2","TM4SF1","HIST1H4I","SIX5","PAK1","FZD9","HSD17B13","NOS1AP","NECAP1","NR2F1","FBP2",,,,,"GAS1","PRSS16","CYBRD1","HOXD11","HOXB5","REG1B","GRIN2D","CPA3","BMPR1B","CLCF1","RFX2","RNF39","UGT2B7","SYNJ2",,,"PPARD","UGT8","EIF2C4","SLC29A4","PTBP2","LELP1","IL11","NCAPG2","IL4R","WDR24","PCSK6","CYFIP2","ZNF140","TIMP2","ID1","LAIR2","RND2","ACTL8","TRPM4","CHST11","DPY19L4","TUBA4A","TM4SF20","ANXA2P3","DUSP8","HSPA12A","STX10","KLHL35","IFNA5","ROM1","PSPC1","PASK","CD1A","FKBP11","NIPAL3","ST3GAL4","CX3CL1","SHCBP1L","FKBPL","CEACAM21","ATPAF2","HMGA2","ADAM21","LEF1","C19orf48","CYBA","MGC2889","PROL1","PROM1","PAGE1","WNT16","PLXNA2","HOXB13","ERO1L","NR3C2","NAP1L3","ORAI2","CTF1",,,"DHX32","CKMT1A","PVRL3","SLC16A3","ABHD3","CDK5R2","H19","PCDH10","C10orf99","BLVRB","FAM32A","QTRT1",,,,,"SUV39H2","LPXN","FASLG","IL1A","CCDC64","ASPA","OR1A1","KIF21B","JUN","KIFAP3","CRYAB","NDUFS1","CHRND","EDN1",,,,,"HHEX","FRAT1",,"KIAA1274","ERVH48-1","ARL4C","MGC14436","HIST1H4H","IFI16","CPLX2","LOC651803","MLLT4","LGALS3BP","ATP6V1C1","EXTL2",,,"ENTPD6",,"EMID2","LOC440895","DTX2","ANPEP",,,"DTX2","ANPEP","SOBP","NELL2","SV2B","CEACAM1","LRRC48","DUSP6","SOX30","EVI2A","SOBP","NELL2","PF4V1","MEGF8","ATP2A1","KCNJ12"
,,"ITPR2","AURKB","NDUFA5","SLC4A7","ZBTB10","PTPRU","SETDB1","NUP107","ITGA7","POLRMT","RAB5B","FABP7",,,"RRP1B","PHF20","GAL","GCHFR","RAPGEF3","KIAA0020","DKK2","C19orf48","ADORA1","SPINK4","OGN","MICU1","DPEP1","C4orf49","PTGFR","SYNE2","C6orf105","CLIP2",,,,,"CCIN","USP9Y","RAB11FIP1","TCIRG1","PIGN","MTF1","ZFP36L1","OCM","KCNJ9","CA3","SERPIND1","NLK","BAX","CLTCL1",,,"HOXC4","CHST1","ATL1","CAMKMT","FAM153A","MBD3L1","PCOLCE2","ADI1","ACAT2","CHAF1A","IL24","TNS3","JAK2","RAI14","MXI1","MPZL2","CA5A","NUPL1","GLE1","ORAI3","LOC100288903","PRSS3","PTPRO","GAD2","WIPF1","MDM2","TRAF3","CLEC7A","CYBRD1","KCNC4","ECE2","TTI1","HBP1","COQ2","ZNF124","PQLC3","ZKSCAN4","GRM5","CIRBP","PCTP","NSUN4","GRINA","KRTAP13-2","GPRC5B","GDF3","SAMD8","C18orf1","STMN2","CTSH","TRIB3","GTF2A1L","CTNS","DIO2","PYGB","CYP4F11","CD27","GNAT3","LOC651803",,,"SKAP2","SH3YL1","SLC25A13","ZDHHC12","BBX","SAP30","UNC119B","C17orf79","UROS","RHEBL1","NRARP","ORC1",,,,,"KIF5A","CTSG","BHLHB9","HOXC8","RPL3L","SPHK1","IGLV2-14","CYP27A1","IDUA","TAF1B","VPRBP","JOSD1","SAV1","PRG2",,,,,"SLC25A1","HPSE",,"ELOVL6","RANGRF","CXCL6","CHML","N4BP2L2-IT1","ZCCHC14","CD34","PRKG2","TJP3","BMPR2","COL17A1","PIP4K2C",,,"ADRA1A",,"SLC25A16","OR51E2","PROC","MMP1",,,"PROC","MMP1","CLDN8","SLCO5A1","ANKRD1","SPRY2","KCNN1","RAPGEF4","METTL7A","SLC6A4","CLDN8","SLCO5A1","IDUA","PLLP","TM4SF1","DNAJC6"
,,"SIX5","ADA","EZH2","KRT7","ZNF84","SEPT10","BTC","CYP2C8","S100A11","CCR2","SELPLG","BAI2",,,"FKBP3","DYRK4","DTX2P1-UPK3BP1-PMS2P11","GUCA2B","PRSS12","ELK3","MAN1A1","TCEB1","C1R","VANGL2","C11orf71","SGSM3","ICOSLG","ADORA2B","OGDH","NAP1L3","TGFBI","FEV",,,,,"CBX7","PNLIP","ABCC3","PCDHA9","DPF3","STRN4","IL21","DLX6","CENPA","RFPL2","NEURL","APBA2","MLANA","KLK10",,,"MRPL55","RTN4R","PSMC3IP","ALG3","CSAD","MED10","TMEM53","CD53","NDRG4","HAX1","NAV2","ORAI3","SYCP2","CAPN5","MEGF9","LAMC1","DNAI1","PLEKHF1","TCAP","RFPL2","PSRC1","EPHB2","DCC","OR7A10","ABP1","GCH1","ZNF253","MTMR8","RUNX3","GEMIN7","ADM","PROP1","FAIM","TFPT","TACC2","RND1","ZCCHC24","ZNF91","RNASE4","FSCN3","JAM2","DSP","CDC42EP1","CBWD1","CRMP1","PRSS8","OAS1","IGLL1","SOX2","IL1A","ALX4","TRIO","RBP4","MICA","MSX2","HS3ST3B1","ZSCAN5A","TLX1",,,"RAI14","NAT1","PAM","SLC29A2","CLIC1","NGDN","CTSC","DCT","ARPC1B","MCM5","MORC3","H2AFB1",,,,,"ECT2","SLAMF8","KCNS1","REEP2","LRRC37A","LRRC6","PRKG1","ECM1","NOP16","IFNA13","TACSTD2","THOC2","ZMYND8","CD163",,,,,"ELOVL6","BZRAP1",,"RGS16","CHPT1","LOC643424","SLC43A1","TLR6","DUSP8","FSHB","HSF1","GJB4","CUX2","SLC22A5","DNAJC17",,,"HRG",,"ZBTB44","CCND1","TNNI3","FNDC8",,,"TNNI3","FNDC8","RBM17","TRAF1","CACNA1A","CEACAM3","SPATA6","FZD3","CD22","MYH2","RBM17","TRAF1","SERHL","ANKRD34C","ATP8A1","LPL"
,,"NDRG4","RBM15","AGL","IFIT3","BRWD1","CAPN5","NOTCH1","OXSM","NRP2","CDCA7","PRELP","SNCG",,,"NELL1","RAB31","HRG","MED12","ACYP1","C8orf76","C1orf115","MAPRE1","GNAT2","JUNB","LPHN1","SEC14L2","OSGIN1","DFNA5","PITX3","PPID","UCHL3","KCNMB1",,,,,"ENO2","PSTPIP1","ID4","DTL","SPRR2B","RAD9A","TCAP","PPL","KCNIP1","C4BPA","HTR3A","BPNT1","MYOM2","CA6",,,"ZNF135","ARRDC2","CARD16","SORD","DTWD1","FNDC8","GATAD2A","USP15","SH3PXD2A","AAAS","INPP5F","POLE2","CSTA","AKR1C2","ASCL1","L1CAM","NACAD","S100P","SLC26A1","GATA1","HBD","ST6GAL1","MYF6","CBL","MLL","AGRP","WFDC1","CDX1","KNG1","NANOG","COCH","MUSK","SRGAP2","ISOC2","MLL2","WT1-AS","LIN7B","KLRB1","BMS1","FGFRL1","DDX49","RAB33B","WSB1","SLC29A4","ZNF566","SEPP1","OR10J1","BMPR1B","KCNV1","MARCH3","PDE4B","SLC1A5","DDC","ABLIM3","CA6","CD1E","CYP7B1","PRKG1",,,"HNF1A","OSGEP","TMEM106B","NXNL2","SUPT16H","BCL2L11","ANKRD40","MRPL49","CHAC1","SPIRE2","CXCL12","EIF1B",,,,,"APOOL","RAB31","PDCD4","DUSP4","AIRE","MEGF6","ZNF286A","XPNPEP2","LOC157627","RTCD1","TUBA4B","FAM3C","MLYCD","HTR1D",,,,,"TMEM106C","LPAR6",,"MAPK14","ENHO","BCL6","LOC100129603","TMEM107","APPL2","ABCD1","MAN1C1","NCR1","SERPINE1","DSC3","SLC38A6",,,"NEIL3",,"SLC27A3","ILVBL","NKX6-1","RCAN2",,,"NKX6-1","RCAN2","TRIM9","TAAR5","FGFR3","TFPI","CCL27","RELN","C1orf222","SMPX","TRIM9","TAAR5","ZNF750","JAM2","EHF","ADAM19"
,,"GADD45A","MFI2","TMPRSS3","TUBB2A","FBXO5","EDN1","NR5A2","ANLN","CX3CL1","UFD1L","ZNF3","ABCC8",,,"NR6A1","CTBP1","RNASE6","NCSTN","HSPG2","DSP","ECH1","NUDC","LANCL2","S100A8","MATN2","VAT1","CES3","ERN1","GPR37L1","ITSN2","MAD2L1","DDIT4",,,,,"HCRTR2","MCART1","PIP","HOXB1","TLR6","KCNC3","PRSS50","TREM1","RAB8B","OSGIN2","MECOM","SCG5","APOC2","TOX3",,,"C7orf54","PCNA","AGPAT9","DCAF4","SYT1","POU3F2","RGS16","EGFL6","NYNRIN","AHCYL1","PTGES","FAM117A","OXSM","NPC2","CTNNAL1","ANKMY2","FZD10","CLEC4E","CAD","AVL9","DDB2","YRDC","KAT8","SERPINB2","FAM164A","GABRR2","FAM57A","IGLL3P","C9orf31","OR7E47P","PRPF40A","BSN","ST8SIA4","E2F5","NOS3","PTGS2","MATN4","GARNL3","EMP2","ZFPM2","HELB","KLB","COL3A1","GPD1","SEPT1","BVES","P2RX2","IL6","PDE3A","ATF3","HIST1H3G","FURIN","PTER","DDIT4","HLA-DRB4","ITGB2","TRGV7","PKDREJ",,,"PLAT","DUSP14","ZNF600","ATP8A2","ABCB4","DIRAS1","EFTUD1","PPM1M","PPBP","CDH2","LAMP2","SIM1",,,,,"C10orf2","ANXA6","GPC4","LLGL2","NR1I2","DHRS3","USP27X","CHI3L1","CKS2","THOC2","EGF","MYL2","ATRNL1","JMJD1C",,,,,"COL9A3","TOB1",,"PDGFRL","PSMG4","KBTBD8","FBLIM1","LFNG","KCNJ2","RAPGEF3","SLC6A6","VWA5A","PITPNC1","IFIT1","SNAP23",,,"WHSC1",,"CAPRIN2","HHCM","KCNE1","DNM3",,,"KCNE1","DNM3","CYP21A2","GABRA3","CA5B","IL1B","MAGEA10","NRXN1","UPK3B","RNASE1","CYP21A2","GABRA3","GNGT2","IL1RL2","SEC31B","CDKN2A"
,,"CD47","UBE2T","CTSH","FNDC3B","STK17A","PPAP2C","LRRC57","CD276","VSNL1","ATAD2B","EMR1","CHRD",,,"CYP24A1","ATXN1","PAFAH1B3","MSN","TRIM56","PHF20L1","LOC100287704","SLC25A11","FAS","DUSP10","ZNF187","RIMKLB","C1R","SELRC1","ARC","CFH","POP5","C21orf2",,,,,"CATSPERG","ABCD2","TREM1","FGFBP1","LHB","FICD","LY6G6D","TNNT3","PDE6H","GSC2","RBMXL2","ATP8A2","NAMPT","UQCRH",,,"HAPLN4","ZFP30","PRO2852","ANO2","SUV39H2","CLIP3","SIM2","TF","MAP4K4","LOC595101","UGCG","ABCG2","IRF9","TRIM29","PPP1R3C","MTMR11","HHIPL2","NR1I2","BCKDK","SATB1","ADAMTS5","KIR2DL4","RUNDC3A","ITGB1BP3","ETS1","TFEC","PTCD2","LILRP2","PTPRZ1","INA","OTUB2","CXCL17","FOLR1","GALK2","OR2H1","VAMP5","IFNA5","RNF125","ZBP1","SOX15","CD1D","SLC22A23","CSRP1","PMFBP1","N6AMT2","ANKS1A","VAV1","FBXL8","PDLIM5","CHST3","CAB39","FLNB","SIM1","PLXNA1","MRPL41","NFASC","CA2","CDC37L1",,,"PRDM1","ONECUT1","GPR124","ACVR2B","DIXDC1","AHRR","LAMTOR3","PDXP","PTPN9","SLBP","UBXN4","SLC43A3",,,,,"CENPE","CACNB4","PROM1","MAF","PROM1","PTPN7","TAAR2","IBSP","GIPC1","FLI1","CYP3A4","PEX11A","RNF43","DLC1",,,,,"NME4","MS4A6A",,"ABLIM1","LOC202781","EMP1","OXCT2","RHOC","MORN2","RELB","CAMK1G","SLC17A1","DLGAP4","DNAJC16","TMEM45A",,,"LY86-AS1",,"TCL1B","SOX17","SLC3A1","SLC6A15",,,"SLC3A1","SLC6A15","GAMT","CCR6","SELENBP1","OCA2","EPHA5","TUBB4A","CBL","KCNA5","GAMT","CCR6","C22orf31","KLRG1","PTPN13","HSPA1A"
,,"TANK","DFNA5","SIGMAR1","IL1R1","PSPH","PTOV1","TM2D1","ARL5A","ADH1A","LOXL2","BCAT2","GNG12",,,"HRG","CDKN2A","TUBA4A","SMTN","C9orf150","DCBLD1","TSPAN9","RRM2","ITPKB","SH3BGRL2","ZFYVE21","HIST1H2BD","UBR3","H6PD","FCN2","BAZ2B","CCDC86","FMO4",,,,,"COBLL1","PSPN","UBXN2B","SAG","SYT11","CCR8","ALX3","CSF3R","HNRNPA0","SLC16A4","TFDP3","SRCAP","FAS","CDH13",,,"WASH3P","HEY2","S100A8","LOC645030","FANCL","TMEM11","ESR1","DENND4C","NTM","TOMM40L","FTO","ATP6V1H","IFITM1","NT5DC2","IFT57","CORO1A","TSPAN12","PTPN7","TRMT2A","CSHL1","CDC25A","CRCT1","C8orf71","LOC646089","EIF2C2","AKR1B10","LINC00338","CILP","PAX4","PMEL","GATAD2B","KERA","PCNXL2","MRPL39","SERPINA6","TBX5","RS1","CCDC71","ZFP57","CDH3","CIRBP","AMN","ZBTB32","TMEM186","GPATCH4","GATS","VAV2","SMPX","SPINT2","PIEZO1","HS6ST1","KCNC4","ZCCHC24","TGFB2","KLHL28","EDN1","RHO","TTC21B",,,"FMN1","MMP23B","NFKB1","MOGAT1","TMEM158","PPP1R3A","LMAN1","SMARCA1","C9orf103","KCNA1","ESF1","SPATA13",,,,,"TFAP2B","COLEC12","HIST1H3J","IRF2BP1","ALG12","CNKSR2","HKDC1","CBL","PKD1P1","PSMB10","MGC40069","RNF4","ZPBP","DYRK2",,,,,"FCGR2C","ICAM3",,"HPDL","CYFIP2","OTUD1","CRIP2","TTC30B","CNIH3","SDS","SLC2A4","SEMA3C","GATA6","ZZZ3","LAPTM4A",,,"METAP2",,"ZNF160","XCL2","APOB","SORL1",,,"APOB","SORL1","KIF25","C11orf41","CALCB","CYB5R2","ABCB11","TRIB2","ZNF862","PPP1R14D","KIF25","C11orf41","CFI","CHRNA3","ID1","DENND1C"
,,"TRIM41","CNOT7","BST2","TBC1D8","MBNL2","FAM46C","RABAC1","SRSF1","S1PR1","NPTX1","RNF167","NPY",,,"DNAJB4","E2F4","AMBP","PPY","RABGAP1","C12orf44","CDS2","RAD18","TIPIN","PON1","TNFRSF19","DUSP10","PLTP","TARS2","DOLPP1","MARK2","NBN","MTSS1",,,,,"CLGN","UNG","CD68","ALX3","THBD","KIFC1","PRRG2","RSPH6A","SERPINF1","PTK2B","ECEL1","GPR85","ZNF516","RRAS2",,,"LOC389834","MICB","ACAT2","RPTOR","S1PR3","FBLN2","MRVI1","NDE1","PINK1","SMYD5","SLC7A11","TBC1D8","SLC35A5","PCDH1","PLCB4","PGM1","LRP12","SLC6A15","STXBP2","MPDZ","LRRC20","COL4A5","CACNG2","ERO1L","MBNL2","PHKG1","MEOX2","DDX25","CYP4F3","RGSL1","BAI1","LTB4R","ZNF124","PFKM","HBA2","VPS13C","ARHGAP15","CRYGB","MDN1","IL36RN","LCK","SPOCK1","C16orf89","IRX2","BNIPL","BBX","LCN1","CLSPN","S100A4","MGLL","PLS1","PROP1","FRMD4B","CLDN1","IL17A","IFNA17","ZNF221","RASGRP1",,,"ZNF474","GRK1","ECE1","C10orf47","USP25","TAOK3","STC2","PLEKHA6","C6orf203","E2F8","WDR26","DUSP13",,,,,"RPUSD2","CDCP1","APOBEC1","RAB11FIP1","ZNF571","YRDC","USP18","HABP4","DTX2","MAML3","ADCY2","NBAS","CHST7","RAPGEF2",,,,,"MICB","TYROBP",,"SLC35F1","ACY1","PPP3R1","C4orf32","ZNF117","ZFP36L1","KRT32","SLAMF1","SPRR1B","ANKRD46","SMURF2","USP10",,,"TDO2",,"DSCAM","CLDN7","EDIL3","LOC147343",,,"EDIL3","LOC147343","FLT1","CLPS","TTYH1","PDE3B","EPS8L3","GRIK2","CCDC132","NKX2-5","FLT1","CLPS","SDS","C6orf103","EFNB2","MAOB"
,,"RAP2B","PARP1","IAPP","KCNS3","SS18","ABCC3","DPPA4","PLCG2","DHODH","SPOP","MARK2","CBX5",,,"POU3F1","KLC1","GPR1","FSHR","PMS2P1","SPRY2","MRGPRF","LYAR","LPL","HOXB3","FHOD3","TOR3A","ZMYM5","CTRB1","SVEP1","CEP350","ZNF253","ISG20",,,,,"CLDN14","GSG1","SCRG1","PTGER1","DDX25","THRB","SCGB2A1","F13A1","IL17A","PCDHA6","TXNRD2","SNAI1","TYR","LRRC42",,,"NKX6-3","ANKRD18A","LOC643650","KLRG2","SH3TC2","LOC126536","PTPRVP","CDO1","NDRG1","CEP250","SLC24A3","EPS8L1","RNF43","EPHX1","MAFB","LOC401034","USP46","CDK6","PCDH12","SCG2","METTL16","TRAF3IP1","LRRC61","ALDH1A3","GRIN2C","RASSF8","ITIH3","MYBPC1","CHST15","WT1-AS","RFX2","SHISA2","KIAA0430","GK3P","ENC1","SLC2A4","SERPINB3","OVGP1","REEP6","PDK4","DBR1","RGL3","SERPINF2","PSMB9","DEDD2","LCP1","KAZN","ACTL6B","PRDX2","APBB2","DNAJC12","ASPH","BAG3","C2CD2L","LIN7A","HOXD1","UTF1","SCN8A",,,"MFSD4","DDHD1","ELOVL2","SERINC4","RGS20","CLDN23","SERP1","GANC","HIGD2A","FANCL","LGALSL","RASA4",,,,,"MYO19","HEY1","FLJ13310","PMM2","KIAA0319L","USH2A","DOC2A","TEAD3","TFIP11","MVK","KL","RANBP6","C7orf68","ATF3",,,,,"RHOBTB3","KIAA0232",,"PLS1","RORB","NKIRAS1","GABRA4","THAP1","C4orf34","KIAA1967","C22orf43","C6orf15","CDKN2B","LMNB1","IQCK",,,"FGA",,"KIRREL","SLC28A1","MTSS1L","DEFB4A",,,"MTSS1L","DEFB4A","FMO6P","SNAP91","CSRP3","PPP1R15A","BMP4","KCNA5","TSC22D4","SARM1","FMO6P","SNAP91","EPHX2","PCDHA2","VILL","FLNC"
,,"PLK2","SHBG","ARMC9","HK2","NCAPG","ACHE","CNN1","TSHB","PTGER4","CLIP4","WNK1","CLDN14",,,"C10orf116","PKN1","NNT","HIST1H3B","KIAA0319L","PXN","ABCA6","CCND3","ASF1A","CXCL5","HIC1","IDI1","FN3K","KIAA1967","CEACAM6","MKLN1","CDKN3","BMP8A",,,,,"KRT8","CCDC94","FAM198B","NEUROG1","IRF7","GPR97","PMEL","ZNF214","FPR2","CXCL12","C7","MEP1B","PLA2G4A","EDIL3",,,"LOC642441","PLXND1","SLC6A14","OR7C1","COL8A1","FNDC4","FGF13","INPP5B","PGBD3","AZIN1","ZNF140","ULBP2","PDCD4","BCL3","TCN1","KCNN4","FES","TSPAN7","CSDC2","DKFZP564C152","OIP5","SLC16A8","IL10RA","PPFIA4","BCL9","IL13RA2","ZMYND10","CDKL5","RGS11","MIP","PLAU","PDK2","FBXL4","FAM129A","DLX2","AHSP","KIAA0894","AK5","IGFBP3","HIVEP3","SALL1","P2RX4","PLCL2","SLC16A3","ZNF428","ARHGEF16","PPP2R1A","ANGPTL4","OGDHL","NKAIN1","EIF4B","FES","ALDH6A1","VEGFA","GABRB1","RSAD2","NSUN6","IQCC",,,"NAB1","RABGEF1","D4S234E","TCP11","TMED9","PTPRCAP","ATF5","TIMELESS","POLR1E","EFS","TMEM123","PCSK5",,,,,"KRT13","GNAZ","SIGLEC15","AHR","CHGB","C10orf2","GDNF","RSAD2","NCAPH2","ANXA7","KRT20","ATP6V0A2","PSG2","KLF4",,,,,"SHMT1","XPC",,"LOC285957","FBN2","ZNF222","LOC340107","CYBRD1","STAM2","TSGA10","REST","CLDN17","FAR2","DKK1","RAB4B",,,"SLC47A1",,"ZNF721","CHST4","VILL","ITGBL1",,,"VILL","ITGBL1","IFNA16","TTC22","SMPDL3B","AKAP12","IL6","NMNAT2","DHX58","DCBLD2","IFNA16","TTC22","ARL17A","FOXF2","USP18","CD302"
