"GLI1_UP.V1_UP","E2F1_UP.V1_UP","EGFR_UP.V1_UP","ERB2_UP.V1_UP","GCNP_SHH_UP_EARLY.V1_UP","GCNP_SHH_UP_LATE.V1_UP","RAPA_EARLY_UP.V1_UP","CYCLIN_D1_UP.V1_UP","CSR_EARLY_UP.V1_UP","CSR_LATE_UP.V1_UP","AKT_UP.V1_UP","MTOR_UP.V1_UP","PIGF_UP.V1_UP","VEGF_A_UP.V1_UP","BCAT_GDS748_UP","BCAT.100_UP.V1_UP","ATF2_S_UP.V1_UP","ATF2_UP.V1_UP","WNT_UP.V1_UP","BCAT_BILD_ET_AL_UP","E2F3_UP.V1_UP","MYC_UP.V1_UP","SRC_UP.V1_UP","CAMP_UP.V1_UP","LTE2_UP.V1_UP","MEK_UP.V1_UP","RAF_UP.V1_UP","PRC1_BMI_UP.V1_UP","PRC2_EED_UP.V1_UP","PRC2_EZH2_UP.V1_UP","PRC2_SUZ12_UP.V1_UP","MTOR_UP.N4.V1_UP","DCA_UP.V1_UP","ESC_J1_UP_EARLY.V1_UP","ESC_J1_UP_LATE.V1_UP","ESC_V6.5_UP_EARLY.V1_UP","ESC_V6.5_UP_LATE.V1_UP","EIF4E_UP","IL15_UP.V1_UP","IL2_UP.V1_UP","IL21_UP.V1_UP","PDGF_UP.V1_UP","TGFB_UP.V1_UP","YAP1_UP","SIRNA_EIF4GI_UP","STK33_NOMO_UP","STK33_SKM_UP","STK33_UP","KRAS.AMP.LUNG_UP.V1_UP","KRAS.DF.V1_UP","TBK1.DF_UP","TBK1.DN.48HRS_UP","KRAS.300_UP.V1_UP","KRAS.50_UP.V1_UP","KRAS.600_UP.V1_UP","KRAS.600.LUNG.BREAST_UP.V1_UP","KRAS.BREAST_UP.V1_UP","KRAS.KIDNEY_UP.V1_UP","KRAS.LUNG_UP.V1_UP","KRAS.LUNG.BREAST_UP.V1_UP","KRAS.PROSTATE_UP.V1_UP","LEF1_UP.V1_UP"
,"KPNA3","VAV3","PCDH1","MATR3","MCM10","IRF7","CA9","SMARCA4","KRT18","NKAIN1","RCOR2","DHX29","TXNIP",,,"ZFR2","TSC22D4","MYOM1",,"SLC27A3","METTL1","TM4SF5","MAD2L1","PPAP2C","GNE","S100A8","LIME1","CDADC1","KLF11","ZNF76","EBNA1BP2","KIAA0513","NLRP3","TMED3","GATS","RBP4","CFHR1","PLEC","IL18RAP","C13orf15","CCDC94","BRDT",,"HLA-B","ICAM1","HIST1H3B","SIPA1L2","C8orf39","CAPRIN2","DUSP5",,"C7orf63",,"C7orf63","POLM","KCNJ14","KIF5C","GRIN2A","POLM","MAP3K1","MAOA"
,"MRPL46","CCL2","ST8SIA4","GPATCH2","PAN2","CCDC9","FOXO4","ETS1","DRAP1","WFDC12","LIPG","TMED5","KIAA0556",,,"MLF1IP","KCNK3","PKLR",,"MNX1","TMEFF2","DYRK4","ANKRA2","SLC26A2","ARHGDIB","RASL11B","IL8","BMP2K","MCTP1","EDN1","NANS","AK4P3","TEX264","DRAM1","SPEF1","PKDCC","UROS","TMEM209","TPBG","SEMA7A","FAM149B1","TRIB1",,"ATP1A1","ARID5B","SIPA1L2","CXCL3","HSD3B2","IFIT1","FEZ1",,"SMPX",,"SMPX","CLSTN2","IL17RB","SLC6A15","EGFL7","CLSTN2","IL7R","CARD9"
,"NCAPH","MAP3K5","SOX9","CKS2","LARP7","SLIT1","SELPLG","PTPN1","CHEK2","C3orf52","C9","CRYBG3","SEMA5A",,,"APOL6","ZNF324B","KCNN1",,"HBA2","GLS2","DTX2","RPN1","CXCR4","LIMCH1","BACE2","ATP1B2","FUCA1","L1CAM","CAB39L","CD79B","TNS4","PIGC","FHL2","SYTL2","SEL1L3","ATP8B3","KCNJ2","GALNT8","MARCH2","TRIP12","KLF10",,"CSE1L","BCL3","CPEB4","CD36","ABCC6","RGS2","ZFYVE16",,"CXCL3",,"CXCL3","FCRL2","HDLBP","HEY1","CX3CR1","FCRL2","NOL4","SLC2A3"
,"ART3","ELK3","KMO","NTHL1","SOCS2","PTK6","TRAF1","KLF10","MYBL2","NFIL3","BACH2","CALB2","PER2",,,"PLCB4","GNA15","GRIN2D",,"NAT8L","SAC3D1","RNASE1","ATP5B","CLIC3","MALL","BPGM","CCL18","ADAM17","PCDH9","ACE","LGMN","WDR25","GDE1","LMO7","ARID3B","G6PC3","CAMK2N2","APLP1","PRAF2","ZNF749","P2RX1","CD1E",,"MATR3","FNDC3A","IL10RA","IL10RA","B3GNTL1","FKBP1B","TP53BP2",,"TFDP3",,"TFDP3","C9orf38","MGLL","GRIA2","RELN","C9orf38","C2orf67","MIA"
,"PRADC1","SGPP1","CLMN","MBTD1","ASB3","PROP1","DYRK4","IL11","TUBA4A","MAL2","COMTD1","STAU2","SLC22A2",,,"RDH16","EMILIN2","TPK1",,"FAM43B","PMM2","ICAM5","DAP3","QPRT","CCNJL","CAPN2","C14orf56","DMD","CORO2B","FCHO1","CHORDC1","KRT13","CUL4A","GATA4","SH3RF1","AFP","UBL4A","SLCO4A1","PRR7","PCDHB1","MADD","PFKFB3",,"PAPSS1","OLR1","DUSP5","KMO","SLC7A9","ANKRD36B","UXS1",,"EVI2A",,"EVI2A","RNASE1","PSCA","TRIL","TBX3","RNASE1","EMID2","NR3C1"
,"WDHD1","CYP27B1","SPTBN2","STAG2","MYB","FSCN1","PDE1B","PCSK7","PDCL3","RASSF1","ELF5","IL6ST","NCF2",,,"UPP1","ISLR","CHRNA7",,"SEPX1","HS6ST2","C2orf73","MRPS18A","ANXA6","WNT11","TNFRSF21","GNG3","PPM1H","MTHFD2L","ERAP2","PAK1IP1","FGF6","KRT7","TCN2","HTRA2","SGCE","RSAD1","LTC4S","RNF144A","CD79B","STK10","PVRIG",,"LRPAP1","SQSTM1","LOC644250","RGS2","GABRR2","SAP30","PELI1",,"KCNK7",,"KCNK7","MYH2","HIST1H2AI","SYT1","MT3","MYH2","TUBA8","RRAGD"
,"E2F8","PDE4B","DOCK10","NEK9","TM9SF3","CACNA1C","HNRNPA3P1","C21orf91","FAM83D","LSS","LDHC","OPA1","MIA",,,"PCNT","CCR4","PDYN",,"RECQL4","DENND2D","FOXO4","PPP1R15A","RMND1","TTC9","FAM49A","MADCAM1","HOXC8","C7orf63","PRSS50","CCBL1","PRDM14","NCF1","FLVCR2","PCYT2","HBZ","C6orf226","PRM1","FLJ11827","KIR2DL5A","MAPK6","ZCCHC14",,"GSS","LIMK1","PLK2","ASB2","ALLC","IFITM1","SLCO3A1",,"ACCN4",,"ACCN4","CXCL1","KCNA2","SFRP1","CCL20","CXCL1","LAIR2","ZNF22"
,"DDX46","CASP7","UPK1A","VHL","EIF3A","KIAA0040","CEBPD","NIP7","ANKRD32","FBXO6","TMEM97","SPRYD7","SHC2",,,"TK1","MNAT1","AURKB",,"GPR160","FARSB","ACY3","SELS","GGH","C1orf106","UPK2","MCTP1","NR0B2","AFP","WDR25","SLC1A5","SLC22A14","GPX6","HNF1B","SLC35G3","RHOU","FAM65C","LRP8","RPP25","MAFK","PPP1R37","LTBP2",,"SAMM50","GPATCH2","GBP3","KITLG","HPR","CPVL","RGS20",,"DNAJA4",,"DNAJA4","CTNNA2","GFI1","TMOD1","TAS2R1","CTNNA2","RAB40C","WT1"
,"TBP","ERO1L","LAMB2","RUNX1T1","CDC25A","TLE3","PCGF2","DKC1","TMEM48","VAMP5","IL27RA","PHEX","COL11A2",,,"S100A4","FSD1","STK36",,"ZDHHC12","FOS","MIOX","ATP5G2","KATNA1","MYO1D","KLHL7","DCP2","PTPN7","F2RL1","LOC643326","POLR3G","SERPINA1","ANGPTL7","PRSS8","DACH1","DPP4","KLF8","CD69","GNRH2","ZNF76","HTR1E","KHDC1",,"ECI1","C5AR1","ANXA1","CXCL2","OTOR","EMP3","TUFT1",,"BEX1",,"BEX1","ISG20","LOC440334","SATB1","KIR2DL3","ISG20","ADM2","S100A2"
,"CCDC164","ZNF281","SLC12A2","KIAA2013","CD6","GMDS","PTS","C9orf30","SMS","MAN2B2","SEPT9","PRKACB","PYY",,,"MMP8","ABCB9","TSPO2",,"GAD1","TTC18","QPCTL","PEX12","UHRF1BP1L","SLC9A6","CYP1B1","NEUROD6","MTHFD2L","MAN2A1","COCH","FAS","EFS","TRIB2","CRIM1","GSTT2","BAIAP2L1","UCHL3","RAB40A","KIR2DL5A","SLC7A5","ZNF304","CHST11",,"NQO1","THAP1","GPR65","TTC30B","ATXN3L","MED24","TRAK2",,"USH1C",,"USH1C","CALB1","EFNA5","SNAP25","BTC","CALB1","TIMP4","ZNF350"
,"TOP2A","SLC7A11","B3GALT4","SLC23A2","GFM2","VSIG4","CA4","DLX2","BEX1","PLSCR1","CDH17","HS2ST1","CPA1",,,"PSMB9","RAD51","LTA",,"ANTXRL","ZNF593","LOC651803","KIAA0141","EPN3","SPTBN2","PKD2","OPA3","GADD45G","SEMA3A","SLCO4A1","CLPB","GPR45","TRAFD1","CHST15","CCDC114","FGFRL1","MRPL30","POLR3G","ESRP2","AGAP2","NCKAP1L","CKMT2",,"CORO1B","DUSP5","LMBRD2","PHLDA1","TUBA8","KHDRBS3","SLC39A6",,"ARHGAP24",,"ARHGAP24","RPS4Y1","PCDHGA11","CCND2","CCT8L2","RPS4Y1","OR7E24","LOXL1"
,"SDCCAG3","TNS3","RFTN1","COX7B","DES","NCOA1","BLM","GABPB2","AHSA1","CXCL16","IGLL1","KIF5B","ZNF76",,,"ITIH3","GINS2","IL6",,"UNG","TDRD10","FAM70B","STRADA","BACE2","RAI2","PTGER4","GATA1","PDGFA","ACTL8","KRI1","DDIT4","TEX13B","PHF21A","ABHD5","SP1","ARID3B","LST1","NEUROD4","PQLC2","FOXD2","SLC5A3","ACSBG1",,"DRG1","TREM1","GLIPR1","ARID5B","SOX12","BMP6","OSBPL2",,"GPR4",,"GPR4","NR1H4","KLK12","SLC1A3","C7orf63","NR1H4","LRCH1","GNG11"
,"ATP5D","SLCO2A1","S100P","EPB41L4B","RRM1","AEBP1","KIAA0090","DNTTIP2","CCT6P3","BACE2","CYP26A1","F11","TCL1A",,,"ATP2B2","TRIM14","RSPO1",,"FAM92A1","SLC25A15","BAHD1","OXA1L","DIAPH2","TNS3","ITGB6","CDH22","LUZP4","ZNF215","CBX7","CARS","ZSWIM1","NARG2","C10orf58","KCNC1","MFAP2","GEMIN6","CNNM4","VSNL1","PRSS50","UAP1","SMURF1",,"FXYD3","C10orf46","HIST1H2AL","ADAM28","JAK3","PPAP2C","ZC3H12A",,"ATP1A2",,"ATP1A2","SPRY2","TMPRSS4","RCAN2","ANO1","SPRY2","TNNI1","PCSK1N"
,"TK1","FERMT2","FADS2","KIF1A","POLA2","PLA2G5","TTLL12","TIMM22","HIP1","HCK","UHRF1","RIF1","CRYGD",,,"FOXG1","HSPA6","INSRR",,"MEX3B","AHSA1","A1BG-AS1","PMAIP1","ECI2","LRP5","PARVA","NIN","ASCL3","OPN3","ACAP1","COASY","RIMS2","CPT1B","WBSCR27","PRICKLE1","SEPN1","C8orf33","LSP1","ELMO3","GPR85","CLDND1","CD3EAP",,"PMPCB","CLVS1","KIAA1659","TRIM23","TTLL3","PDLIM2","STAM",,"KIF5A",,"KIF5A","IL23A","FMO2","NUDT11","SIGLEC15","IL23A","CES1P1","INHBE"
,"HDGFRP2","DUSP5","ZNF467","RPL39L","ZNF281","CD97","TK2","C6orf228","MAZ","TMCC3","HELLS","ARL4A","P2RX4",,,"MON1B","PRSS50","UTF1",,"KCNS3","DIS3L","CCDC23","NQO2","IGFBP5","TMPRSS4","TUBB2A","DKK2","HOXA2","EDN1","IL1RL2","RRP15","MOGAT2","PCSK4","ID2","TERT","HBE1","JOSD1","AP3M2","PLXNA3","LIM2","IFNAR1","NTF3",,"TNNT1","GBP3","KIAA1841","HAVCR2","CRYBA1","IFI35","CHGB",,"DUSP6",,"DUSP6","CCL20","ACPP","GCGR","ITGA2","CCL20","LIN7B","SERPINE1"
,"NASP","KRT81","PARM1","RHPN2","TIMM8A","TAGLN3","DNASE2","SEC24A","KCNC4","GDPD2","PRKCA","PISD","LY6E",,,"HSPA6","BAALC","ST8SIA3",,"FOXD1","MRTO4","VN1R2","FAHD2A","PNRC1","SGCE","GNE","PLEK2","CXCL10","SLC5A7","USP46","RRP9","AURKB","KIAA0195","PHLDA1","RNF123","APP","ACYP1","IL18RAP","PUS1","CFD","LAS1L","KLF7",,"C12orf11","PLAU","HIST1H3J","AQP9","CLEC5A","DPYSL2","PLAU",,"RDH5",,"RDH5","LOC401034","CMA1","MAP7","HS3ST3A1","LOC401034","CYP2R1","AXL"
,"RB1","COTL1","PACS1","MRPL50","TEAD3","ASTN2","FZD5","BRPF1","PREB","FABP5","RD3","TRMU","PTPRJ",,,"N6AMT1","PLK4","GALNT11",,"DCK","LHX6","IRF8","CCDC124","PPP1R3C","CSGALNACT1","SEPT10","SPON1","ZHX3","IFI44","CH25H","CEBPG","GLS2","PTPRCAP","F3","FBP1","CTDSPL","CHCHD1","PTH1R","RHOB","PCSK7","CHKA","SLC26A2",,"UBE2E1","FBXL13","MYBPH","FAM177A1","KCNC1","ALDOC","WWTR1",,"DCBLD2",,"DCBLD2","LAT2","GPR144","SCN1B","ATG10","LAT2","TRIM31","SLIT1"
,"GUF1","TFPI","MIA3","STYX","CASD1","GALNTL4","GTF2H4","CD33","D4S234E","CYP51A1","MKL2","SREK1","OVOL1",,,"ABLIM3","C3AR1","A4GALT",,"LOC202451","NLE1","ATOX1","SEC61A1","BNIP3L","F2RL1","ASPH","FOXP1","TRIB1","IRF8","DOK2","GUCY1A3","GRIA1","ADSSL1","PARVA","ZNF322","CDH2","VIPR2","PQLC2","CCDC85B","SLC12A8","CDC25A","KIR2DS2",,"IGF2R","ABHD2","CXorf23","NRP1","BMPER","RRAD","G0S2",,"ADAM19",,"ADAM19","DNAH9","CMKLR1","FAM153B","HBEGF","DNAH9","CD80","APOBEC3G"
,"TAF6","HBEGF","TNNT1","CD2BP2","PFDN6","SHC3","KLF4","PAPD4","CDC6","CALCB","PYGL","FAM208A","CRYGC",,,"ALX3","S100A4","IL12B",,"ZIC2","EEF1E1","PIN1","KIAA1267","SLC2A10","GRAMD3","KAT2B","RBM4","SLMO2","ETV4","MRS2","EAF2","WISP1","RASL11B","H19","SEPP1","NEPNP","MDH2","ZBTB48","KIF1C","BET1L","MORC2","PPP1R13L",,"TCF25","HNMT","ASPH","BCL3","EFNA2","STEAP1","GCC2",,"ETV4",,"ETV4","KCNJ14","CXCL3","PNMA2","CYP2J2","KCNJ14","TGFBR1","EN2"
,"VPRBP","SNX16","FMO5","GGPS1","CHP","KLHL35","LTBR","RG9MTD1","FOXM1","GPR56","HSPE1","GJA4","FAM189A2",,,"MAP1B","AKAP4","NEUROD2",,"DDAH1","IL17D","SYN1","HNRNPU","LRP8","CLDN9","MSX2","ACE","CYP1A1","TRIB1","CIDEA","ABHD6","CCT8L2","PTGER4","MORC4","TNFRSF1B","MYL3","PMM2","CYP7A1","PPAP2C","OR6A2","NEDD9","CLCF1",,"RMND1","RNF19A","SULF2","GLIPR1","FLJ14327","E2F8","SERTAD2",,"CTNNA2",,"CTNNA2","DOCK4","GLRX","RIT2","C11orf41","DOCK4","FGF21","GNG4"
,"ERMP1","ISG20","MUC1","XPO1","VCAN","DNAH3","TAP1","EIF4H","COPS3","SYT8","HIST1H2BD","MAFK","TCEA2",,,"ARHGAP22","LRTM1","CDH5",,"INHBB","ABCC4","GALK1","CKMT1A","RHOQ","MAP3K9","HERC5","CNGA1","RPL3L","CCNJL","BRDT","ARG2","WASL","AMPH","ZDHHC9","HDAC11","RECK","NEGR1","ACVRL1","FLT1","S100A1","ATF6","TBC1D2B",,"MAGEF1","STX12","ACTA2","NBEAL1","C10orf81","GNE","CIAPIN1",,"GBA3",,"GBA3","ADAM19","CALB1","SMR3A","NDOR1","ADAM19","MAP4K1","EMP1"
,"SLC35E1","SPAG1","GUCY1B3","ARHGEF1","KIFC1","MAN1A2","ST3GAL4","KLF13","NOC2L","PRKCH","USP18","ABCA8","OPTN",,,"NFE2L3","NEFM","MFAP2",,"MANEAL","NOC4L","TMEM88","STAT4","C1orf115","SLC12A2","SPRR3","GRM2","KCNJ15","B3GALT4","CA11","PTPRK","CACNG5","MAG","GPX3","PDZK1","P4HA2","MYH6","FOXP3","AATK","SPP1","EGR3","MMD",,"PSAP","VWA5A","KMO","RNF19A","RCAN2","LTBP3","BTG3",,"GRIN2A",,"GRIN2A","ITPKA","OR2C1","WSCD1","CD80","ITPKA","CFH","NRIP3"
,"TYRO3","MAOA","ARNT2","KRT12","HNF1A","LDOC1","ALDH3A2","CHUK","CXCL6","COMTD1","MCM5","GRB14","NAT8",,,"MAGEC3","HPGD","SAA3P",,"SEPT3","ZNF667","GPX5","BSCL2","RPS6KA5","SDCBP","CABYR","RGS16","NXPH3","TBXAS1","STAB2","MCPH1","GDPD3","BTN1A1","GPRC5C","GPR153","GYG1","NOP16","CENPT","F2RL2","PIM2","ZNF394","FNBP1L",,"BTG2","MMP10","KLF6","CD101","CEBPE","SPRY2","CORO1A",,"LOC653127",,"LOC653127","OR2B6","GABRA3","DNM3","CYTIP","OR2B6","C17orf53","SLC5A3"
,"DNAJC2","SAMD4A","MGAT4A","SMC2","MAGOH","INS","MLL","ZNF324","PGM2","ABCA7","MSX2","MTF2","ARL4C",,,"ZNF324B","ADM2","BAI1",,"SLC27A2","CD320","PI16","C14orf159","GPX3","ABCG1","CERK","ARL4C","CUBN","OSTM1","ZNF471","ADAM9","PLAA","LYRM5","DLK1","GRM8","NAGLU","BMP3","USP36","IL1A","BAIAP3","SLCO3A1","DACT1",,"PTPN13","LY96","PHLDA1","PLAU","HECW1","SCG5","LSP1",,"NAV3",,"NAV3","PRSS3","LOC650594","GPNMB","UGT1A10","PRSS3","ADRA1B","ARHGAP4"
,"KIF2A","FHOD1","PNRC1","DOLPP1","DLGAP5","ATP2C2","MNX1","PAPD7","TRPC4","GUSB","SERPINB5","SP3","CD19",,,"SATB2","APAF1","F2R",,"HPGD","UTP15","SLC4A9","IFITM3","REEP1","SCCPDH","JAM2","NEIL1","USP12","PRKG2","AATK","APOL6","C22orf31","LMBRD1","RAB6B","MGA","GRINA","MS4A1","PUS1","INHBB","SLCO5A1","GADD45A","ELK3",,"FAM158A","CPEB4","LOC284757","RIT1","NPAS3","LOC653127","GNG11",,"MAPK10",,"MAPK10","ANGPTL4","TRAF1","NRN1","TMEM158","ANGPTL4","LIMD2","EGR3"
,"NDUFAF4","SEL1L3","EPHX1","FOXK1","CYP4B1","LHX2","S100B","B3GNT6","EEF1E1","SH3BGRL2","TMEM53","IREB2","TM7SF2",,,"TRPM2","CEP41","ZFP92",,"SLC30A4","PUS7","LOC283475","TRIM38","RRAGD","SORL1","TLE2","PDE6A","PTBP2","DCBLD2","LCAT","OGN","C17orf88","PIK3R1","RNF128","WNT3A","LHX1","IL18","YRDC","FAM57A","TPST2","ANXA7","TBPL1",,"D4S234E","TRIP11","CMTM1","HIST2H2BE","LRRC37A4","CUTC","NCK2",,"CHGA",,"CHGA","OSBP2","BAIAP3","DDX6","SEMG2","OSBP2","DNM1","PDGFA"
,"CNIH2","TAP1","LIMCH1","PRMT10","SQRDL","PDE1B","TGFB1","BDKRB1","TAGLN3","SLC2A1","A2LD1","AIMP1","RFNG",,,"RPL39L","DNAJC15","UTS2R",,"CHML","MMP16","CCDC65","POLR3H","PLCB4","SLC2A6","CD44","DYM","RNF38","TBC1D19","DYNC2LI1","IDH1","CA6","STC1","FST","OTUD7A","CCNG2","TP53I11","DGKG","IFNW1","MMP25","ADAM9","C9orf91",,"PYGL","ACVR1","HMOX1","KLF6","PAX4","MAP3K6","NGFR",,"NME5",,"NME5","LDB3","DEFB4A","GABRR2","ABCB1","LDB3","RARRES2","SCML1"
,"WBP11","RNF19A","ANGPTL4","MSH6","SLC23A2","LOC100287723","EVX1","TBX2","GREM2","GPX8","MAK","NUP155","psiTPTE22",,,"ADAMTSL4","DCAF4","LOC646627",,"TSHZ1","UNG","CAPS","WASH3P","PCDH9","GPX3","LRP5","TNN","ZNF277","PPFIA4","GAB2","ADM","SARDH","CD33","FRZB","TEX2","PITX2","NTPCR","RHOB","TTTY1","SPARCL1","RAB40B","BCOR",,"HSPB1","DAPK1","ZFP36","GPR137C","HSPA6","TM4SF1","CKB",,"APOD",,"APOD","ST3GAL6","LILRA6","SLC12A5","IL8","ST3GAL6","ATXN3L","LINC00341"
,"SLC9A3R1","IL4R","PAPSS2","CCNJ","LBR","LST1","ATP4A","PANX1","HMGB1","TMEM56","KCNK4","CLEC2B","TKTL1",,,"HOXD1","CENPO","UBXN11",,"RASGRP1","DCTPP1","SLC25A22","NSUN3","ENOSF1","CBLB","NUAK1","MAFK","LRCH4","PTBP2","BMP3","ULBP1","BEST1","SCRN3","OAF","KLF13","AMOT","C6orf108","DLX2","LOC388796","GUCY1B3","EZR","KANK1",,"GLUD1","RIT1","KLHL28","FNBP1L","TMEM35","OPLAH","TBC1D13",,"ANK3",,"ANK3","PTPRR","KCNK3","SOBP","SH2D2A","PTPRR","HAL","ZNF236"
,"VEGFA","PSMB9","ITGB4","STAT5A","FBXO11","KLK6","PLOD1","POM121","SNORD22","MYO5B","SC5DL","REV3L","CALCOCO1",,,"FGFBP1","LOC80054","LANCL2",,"CABLES2","TTYH2","TFR2","GPR160","PIP","TNFRSF11B","SLC31A2","SOHLH2","GSC2","MMP10","FAT2","BATF","HTR6","NGLY1","P4HA2","OCLN","SLIT3","ITPK1","PAK6","SLC1A5","EIF3FP2","FAM98A","HS3ST2",,"MIA3","AUH","C5AR1","TREM1","FAM155B","IRF9","GRINA",,"RTN1",,"RTN1","GBA3","SPRR2B","D4S234E","CYP4F8","GBA3","THSD4","AKAP12"
,"MXI1","WIPI1","VIPR1","RBBP6","FANCM","ANK1","KSR1","RIPK2","UMPS","SLC6A14","NTSR1","EIF2S3","MLL2",,,"MYO7A","CD8A","ATP4B",,"BRI3BP","HP","FES","TGFBI","DHRS7","MAN1A1","VTCN1","CCND2","AKR1C3","SRPX2","RNASEL","TRIB3","DNAJC16","DHRS7","SLC40A1","PTK7","RGL3","PRSS1","SLC1A5","DUSP2","TSHR","POTEKP","DDC",,"SUN2","ACSM3","STX12","ITGB8","CFHR5","ETNK1","HMOX1",,"SCN1B",,"SCN1B","SLCO4A1","FCRL2","AQP4","ZBTB48","SLCO4A1","YPEL1","PDZD2"
,"TRNT1","WNT5A","NNT","SLC27A1","ZNF644","CDON","HSD17B10","NCL","CDK5","UGT8","STARD4","VCAN","DCX",,,"GALNT6","RSPH6A","IRX3",,"GKAP1","OAF","COX4I2","ZDHHC23","LMO4","BCAM","CRISPLD2","LOC155060","CD5","IL13RA2","ELANE","PECAM1","FMO6P","C16orf62","GYG1","NCOA2","MYO6","FETUB","SLCO1A2","RSPH6A","SERPINC1","PANX1","MYBPC2",,"GPR15","KLHL28","LOC284801","PANX1","SSTR1","SLC2A10","CCDC165",,"CSF3",,"CSF3","HOXD11","CCRL1","PLCL1","ZNF639","HOXD11","TSSK2","S100A3"
,"IVNS1ABP","ABCC3","OPN3","ADAMTS1","SLTM","HIVEP1","STAT5A","NMD3","SRM","CTRB1","NSDHL","THOC2","ZNRF4",,,"SSPN","KCNAB3","KLRC1",,"C11orf96","LYPD6","FAM182B","PXK","PSTPIP2","FERMT2","EGFR","PADI4","CCDC87","CCK","XPNPEP2","PLCB1","IL36RN","TTR","FUT8","SATB1","SH3RF1","RGS3","LIME1","SLCO4A1","TPBG","GNL1","F2RL1",,"DAG1","EOMES","KIAA1107","FNDC3A","NOVA1","SLC22A4","KLF11",,"SPRY2",,"SPRY2","CSF2","IGF2","MPZL2","IL23A","CSF2","ACOX2","AUTS2"
,"FRAT2","AKAP12","HSPA2","AURKA","LLGL2","SYNPO","BMP5","PLCH1","C16orf61","SEPT9","CPPED1","EFHA1","ENO3",,,"OVOL1","CHRNG","SNN",,"CRY1","RRP15","STAC3","ZBED5","UBE3B","ABCC3","MAN1A1","FAM76A","C1orf21","BMP2","AOC4","GFPT1","F2","RB1","CRYAB","AQP2","HPN","UBFD1","PNMT","CDCP1","MYH15","DIXDC1","AKAP12",,"SLC25A3","IFI16","CPEB2","TLR6","FCER1G","DNASE1L1","BID",,"SEMA3A",,"SEMA3A","TNFAIP3","GJA8","MEF2C","IGSF1","TNFAIP3","ZEB1","RYR1"
,"PKP4","GCLM","SCAMP4","BEX4","IGF2","GRPR","MYL6","ZPBP","ALKBH7","HIST1H4I","ATF3","RARB","IRS2",,,"HTR2B","ICAM2","CCL2",,"SYNGR3","HS3ST3A1","MGC39584","ECSIT","CREB3L2","FOSL1","GM2A","SSTR4","CCND2","FXYD6","CCL18","MSMO1","ARHGDIG","MPP2","ARAP2","MAGI3","EFNA1","GTF2H5","SPAG11A","PIP","SCN8A","VPS39","WNT4",,"AFG3L2","MIDN","NLRC4","ZFP36","F13A1","PXDN","SWAP70",,"CEL",,"CEL","CD247","LOC652159","ARPP21","JAK3","CD247","NR4A3","SH2D2A"
,"USP39","SOCS2","ANXA6","PUM2","ELOVL2","SLC22A18AS","NAT6","TFG","POLD1","CIR1","HN1","C9orf114","RGS3",,,"POMT2","FGF16","HS3ST1",,"EEF1A2","PUS1","MGC11082","ZNF367","PTOV1","MAOA","PDE4D","FCHO1","SLPI","PPP2R1B","DCBLD2","GBE1","GIPR","C9orf89","PGA5","ANKRD2","MSX2","CACNB3","PRSS2","TRIB1","BOK","KDM6A","SSBP3",,"CAMLG","MERTK","KIAA0895","CRK","OPN1SW","SEC24D","MEX3D",,"MCF2",,"MCF2","KCNC1","TLR8","NME5","GRIP2","KCNC1","SLCO1C1","ARC"
,"SGOL1","CCDC68","VWA1","RYK","CKS2","SFPQ","APOA1","NET1","AP1S2","SECTM1","INTS3","PDCD10","ITIH4",,,"HBD","PTDSS2","POU1F1",,"PEG10","HSPBAP1","NKX6-3","WAPAL","FA2H","ALDH4A1","UPP1","SLC19A2","SLC30A10","IDS","CCK","BSPRY","OR3A2","EDARADD","FARP1","MBOAT1","SCCPDH","SLC25A30","ZBTB7A","EVX1","HTR4","TFIP11","ARHGAP12",,,"FAM198B","FCAMR","TYROBP","CD3E","STX4","OCRL",,"ANO1",,"ANO1","CHRNA2","MAPK4","NAP1L2","TEX13A","CHRNA2","CAMK2B","FOSL1"
,"PSME3","MBNL2","P4HA2","DHODH","FAM165B","DRD3","TRIM25","USP12","SLC16A3","TPRN","GSDMC","SLC33A1","MERTK",,,"FMO6P","PLBD1","HOXD3",,"POLE","USE1","GRWD1","METTL17","MMP9","COTL1","QPCT","SLC1A2","TRPS1","IL33","HR","SLC31A1","OXCT2","COLQ","LMBRD1","VPS39","KDELR3","FKBP1B","PSG4","CDH3","ARG1","TJP2","C19orf21",,,"HBP1","RAB7B","MIDN","OSBP2","ETFB","PTK7",,"KCNH2",,"KCNH2","IGHV3-48","KCNAB3","ALDH1A1","NGF","IGHV3-48","C5orf42","LCK"
,"MPG","KTN1","SERPINA1","GTF2H1","PHTF2","VPS11","RASSF7","UTP3","NUF2","ADH4","DBF4","KIAA0040","GRIK2",,,"TOP2A","LYPD1","MAPK8IP1",,"REEP1","DDX10","C19orf73","P4HB","SERHL","B3GNT3","RNF144A","ANGPTL3","TOR1AIP2","DMD","C9orf5","UGCG","PTGFR","NEK2","CHRNB1","CCNK","MICU1","AGXT2L2","URB2","ITGA9","SCNN1A","SUZ12P","PDLIM4",,,"ADAM28","CA6","TRIP11","ATG10","C7orf10","CASP7",,"CEACAM3",,"CEACAM3","TBX3","CDK2AP2P3","SORBS1","ADCYAP1R1","TBX3","PADI3","CCR7"
